3352-87-2	Developmental Toxicity-fetal death mouse
32462-30-9	Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent femalePositive; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-structural mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab. rat; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent
50903-99-6	Developmental Toxicity-retardation rat; Developmental Toxicity-retardation rabbit; Developmental Toxicity-post impl. loss rabbit; Reproductive Toxicity -repro rodent malePositive; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rat; Genetic Toxicity -chrom. ab. rat; Developmental Toxicity-structural rat; Developmental Toxicity-fetal death rodent
126-00-1	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Genetic Toxicity -chrom. ab.
13636-18-5	Developmental Toxicity-retardation rat; Developmental Toxicity-weight dec. rat; Genetic Toxicity -chrom. ab.
50-29-3	Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent
72-54-8	Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
27955-94-8	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
2081-08-5	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
620-92-8	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
77-40-7	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
80-05-7	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
101-53-1	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
2971-36-0	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent
599-64-4	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
2772-45-4	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
79-97-0	Reproductive Toxicity -repro rat male; Developmental Toxicity-retardation rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rabbit; Genetic Toxicity -chrom. ab.
2467-03-0	Reproductive Toxicity -repro rat male; Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rabbit; Genetic Toxicity -chrom. ab.
118-82-1	Reproductive Toxicity -repro rat male; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
88-24-4	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rabbit; Developmental Toxicity-fetal death rat; Genetic Toxicity -chrom. ab.; Developmental Toxicity-post impl. loss rodent
10081-67-1	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. rat; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity-carc rat male
50-84-0	Developmental Toxicity-retardation rat; Genetic Toxicity -chrom. ab.; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
6928-67-2	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity -repro rodent male; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Developmental Toxicity-structural rat; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
6807-17-6	Reproductive Toxicity -repro mouse female; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
107-19-7	Reproductive Toxicity -repro rat male; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -repro mouse female; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-structural rabbit; Genetic Toxicity -chrom. ab.; Reproductive Toxicity -repro rat female
2420-87-3	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -sperm rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm rodent; Genetic Toxicity -chrom. ab.; Developmental Toxicity-post impl. loss rodent
2905-67-1	Reproductive Toxicity-cell transformation; Developmental Toxicity-retardation rat; Reproductive Toxicity-carc mouse male; Reproductive Toxicity -sperm rat; Reproductive Toxicity-SHE; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.
112665-43-7	Genetic Toxicity -drosophila HT
298-02-2	Genetic Toxicity -drosophila HT
298-04-4	Genetic Toxicity -drosophila HT
352-93-2	Genetic Toxicity -drosophila HT
84-80-0	Genetic Toxicity -drosophila HT
3698-94-0	Genetic Toxicity -drosophila HT
30652-11-0	Genetic Toxicity -drosophila HT
5610-40-2	Genetic Toxicity -drosophila HT; Developmental Toxicity-retardation rabbit
110-46-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
463-04-7	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
544-16-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
10217-34-2	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
96-08-2	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. CHO
106-87-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. CHO
331753-56-1	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -SCE in vitro other cells
133-37-9	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
299-27-4	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
31138-65-5	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent femalePositive; Reproductive Toxicity -repro rodent male; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
50-70-4	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
526-95-4	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
527-07-1	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
57-48-7	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
