253128-41-5	Microtubule Inhibitors
57-41-0	Anticonvulsants; Voltage-Gated Sodium Channel Blockers
50-53-3	Antipsychotic Agents; Phenothiazines
5588-33-0	Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
1018448-65-1	Antineoplastic Agents; Monoclonal antibodies; Tubulin Modulators
78755-81-4	Antidotes; GABA Modulators
141758-74-9	Hypoglycemic Agents
10262-69-8	Adrenergic Uptake Inhibitors; Antidepressive Agents; Antidepressive Agents, Second-Generation
356-12-7	Anti-Allergic Agents; Anti-Inflammatory Agents; Glucocorticoids
129618-40-2	Anti-HIV Agents; Reverse Transcriptase Inhibitors
2398-96-1	Antifungal Agents
144689-63-4	Angiotensin II Type 1 Receptor Blockers
58-39-9	Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
361-37-5	Serotonin Antagonists; Vasoconstrictor Agents
58-25-3	Adjuvants, Anesthesia; Anti-Anxiety Agents; Benzodiazepines; GABA Modulators; Hypnotics and Sedatives
435-97-2	Anticoagulants
16037-91-5	Antineoplastic Agents
1048016-9-6	Ophthalmics
949142-50-1	Antineoplastic Agents
183552-38-7	Anti-Testosterone Agents
76-73-3	Adjuvants; Adjuvants, Anesthesia; Barbiturates; GABA Modulators; Hypnotics and Sedatives
189188-57-6	Serotonin Receptor Agonists
55-98-1	Alkylating Agents; Antineoplastic Agents, Alkylating; Immunosuppressive Agents; Myeloablative Agonists
127-33-3	Anti-Bacterial Agents; Tetracyclines
33671-46-4	Benzodiazepines
158966-92-8	Anti-Arrhythmia Agents
87233-61-2	Anti-Allergic Agents; Histamine H1 Antagonists
501081-76-1	Immunosuppressive Agents
58957-92-9	Antibiotics; Antibiotics, Antineoplastic
606-17-7	Contrast Media
119356-77-3	Serotonin Uptake Inhibitors
103628-46-2	Serotonin 5-HT1 Receptor Agonists; Serotonin Antagonists; Serotonin Receptor Agonists; Vasoconstrictor Agents
63590-64-7	Adrenergic alpha-1 Receptor Antagonists
155-97-5	Antimyasthenic Agents
109889-09-0	Antiemetics; Serotonin Antagonists
54024-22-5	Contraceptives, Oral, Synthetic; Progestins
644-62-2	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
39562-70-4	Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
113665-84-2	Platelet Aggregation Inhibitors
58-94-6	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
7683-59-2	Adrenergic beta-Agonists; Bronchodilator Agents; Cardiotonic Agents; Sympathomimetics
69-23-8	Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
55-56-1	Anti-Infective Agents; Anti-Infective Agents, Local; Disinfectants; Mouthwashes
41575-94-4	Antineoplastic Agents; Cross-Linking Reagents
53-39-4	Anabolic Agents; Androgens
5104-49-4	Analgesics; Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
70-51-9	Chelating Agents; Siderophores
66108-95-0	Contrast Media
93-14-1	Expectorants
94-16-6	Diagnostic Agents; Indicators and Reagents
68-26-8	Anti-Acne Preparations; Vitamin A; Vitamins
24584-09-6	Antineoplastic Agents; Cardiovascular Agents; Chelating Agents
5818-17-7	Antispasmodics; Cholinergic Antagonists; Muscarinic Antagonists
68475-42-3	Antithrombins
50-78-2	Anti-Inflammatory Agents, Non-Steroidal; Antipyretics; Cyclooxygenase Inhibitors; Fibrinolytic Agents; Platelet Aggregation Inhibitors; Salicylates
388082-78-8	Antineoplastic Agents; Protein Kinase Inhibitors
59-05-2	Abortifacient Agents; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Dermatologic Agents; Enzyme Inhibitors; Folic Acid Antagonists; Immunosuppressive Agents; Nucleic Acid Synthesis Inhibitors
51333-22-3	Corticosteroids
122-09-8	Adrenergic Agents; Appetite Depressants; Central Nervous System Stimulants; Stimulants; Sympathomimetics
68693-11-8	Appetite Depressants; Central Nervous System Stimulants; Neuroprotective Agents; Stimulants
182431-12-5	Hypolipidemic Agents
132875-61-7	Analgesics, Opioid; Anesthetics, Intravenous; Hypnotics and Sedatives
438-67-5	Estrogens
52232-67-4	Bone Density Conservation Agents
140608-64-6	Immunologic Factors; Immunosuppressive Agents
224785-90-4	Anti-Impotence Agents; Phosphodiesterase 5 Inhibitors; Vasodilator Agents
50-35-1	Angiogenesis Inhibitors; Immunosuppressive Agents; Leprostatic Agents; Teratogens
15307-86-5	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
56796-20-4	Anti-Bacterial Agents; Cephalosporins
103177-37-3	Anti-Asthmatic Agents; Leukotriene Antagonists
175481-36-4	Anticonvulsants
51-41-2	Adrenergic alpha-Agonists; Sympathomimetics; Vasoconstrictor Agents
877399-52-5	Protein Kinase Inhibitors
64211-46-7	Antifungal Agents
133652-38-7	Fibrinolytic Agents; Thrombolytic Agents
73384-59-5	Anti-Bacterial Agents; Cephalosporins
65-49-6	Antitubercular Agents
76-74-4	Adjuvants, Anesthesia; Barbiturates; GABA Modulators; Hypnotics and Sedatives
113852-37-2	Anti-HIV Agents; Antineoplastic Agents; Antiviral Agents; Radiation-Sensitizing Agents
97-77-8	Alcohol Deterrents; Enzyme Inhibitors
61-72-3	Penicillins
9041-08-1	Anticoagulants; Antithrombins; Fibrinolytic Agents; Heparins
37115-32-5	Antidepressive Agents
52-67-5	Antidotes; Antirheumatic Agents; Chelating Agents
479-18-5	Bronchodilator Agents; Muscle Relaxants, Respiratory; Phosphodiesterase Inhibitors; Vasodilator Agents
446-86-6	Antimetabolites; Antimetabolites, Antineoplastic; Antirheumatic Agents; Immunosuppressive Agents
89-57-6	Anti-Inflammatory Agents, Non-Steroidal
4360-12-7	Anti-Arrhythmia Agents
6452-71-7	Adrenergic beta-Antagonists; Anti-Anxiety Agents; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics; Vasodilator Agents
1197-18-8	Antifibrinolytic Agents
914613-48-2	Anti-Inflammatory Agents; Monoclonal antibodies
75847-73-3	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
729-99-7	Anti-Bacterial Agents; Anti-Infective Agents
92665-29-7	Anti-Bacterial Agents; Cephalosporins
54-05-7	Amebicides; Antimalarials; Antirheumatic Agents
81093-37-0	Hydroxymethylglutaryl-CoA Reductase Inhibitors
73573-87-2	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Sympathomimetics
119-04-0	Aminoglycosides; Anti-Bacterial Agents; Antibiotics
63-74-1	Anti-Bacterial Agents; Homeopathic Agents; Sulfonamides
54739-18-3	Anti-Anxiety Agents; Antidepressive Agents, Second-Generation; Serotonin Uptake Inhibitors
146-48-5	Adrenergic alpha-2 Receptor Antagonists; Mydriatics
235114-32-6	Antifungal Agents
61-33-6	Anti-Bacterial Agents; Penicillins
26807-65-8	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
82-93-9	Anti-Allergic Agents; Histamine Antagonists; Histamine H1 Antagonists
72509-76-3	Anti-Arrhythmia Agents; Antihypertensive Agents; Calcium Channel Blockers; Dihydropyridines; Vasodilator Agents
58-27-5	Antifibrinolytic Agents; Dietary Supplements; Micronutrients; Supplements; Vitamins
130929-57-6	Antidyskinetics; Antiparkinson Agents; Enzyme Inhibitors
59-30-3	Dietary Supplements; Hematinics; Micronutrients; Supplements; Vitamin B Complex
53123-88-9	Anti-Bacterial Agents; Antibiotics, Antineoplastic; Antifungal Agents; Immunosuppressive Agents; Macrolides
99592-32-2	Antifungal Agents
132539-06-1	Antipsychotic Agents
58-46-8	Adrenergic Uptake Inhibitors
54-11-5	Appetite Depressants; Autonomic Agents; Ganglionic Stimulants; Nicotinic Agonists
3737-09-5	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
465-65-6	Central Nervous System Depressants; Narcotic Antagonists
28797-61-7	Anti-Ulcer Agents; Antispasmodics; Muscarinic Antagonists
36507-48-9	Adrenergic beta-Antagonists; Antihypertensive Agents
9039-53-6	Thrombolytic Agents
24356-66-9	Antimetabolites; Antiviral Agents
161796-78-7	Histamine Antagonists; Proton Pump Inhibitors
114084-78-5	Antihypocalcemic Agents; Antiresorptives; Bisphosphonates; Bone Density Conservation Agents
9002-60-2	Diagnostic Agents; Hormones
175463-14-6	Anti-Bacterial Agents; Quinolones
57-53-4	Anti-Anxiety Agents; Anticonvulsants; Hypnotics and Sedatives; Muscle Relaxants, Central
81-81-2	Anticoagulants; Rodenticides
992-21-2	Anti-Bacterial Agents; Antiprotozoal Agents; Tetracyclines
316-81-4	Phenothiazines
3900-31-0	Benzodiazepines
10418-03-8	Steroids
182815-44-7	Bile acid sequestrants
67915-31-5	Antifungal Agents
26839-75-8	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents
72822-12-9	Antimydriatic Agents; Ophthalmics
145375-43-5	Hypoglycemic Agents
1209-98-9	Antipsychotic Agents; Central Nervous System Stimulants
84-80-0	Antifibrinolytic Agents; Vitamin K; Vitamins
65271-80-9	Analgesics; Antineoplastic Agents
101-31-5	Anti-Arrhythmia Agents; Antispasmodics; Muscarinic Antagonists
99210-65-8	Immunosuppressive Agents
18016-80-3	Antidyskinetics; Antiparkinson Agents; Dopamine Agonists; Serotonin Receptor Agonists
59338-93-1	Antiemetics; Prokinetic Agents
118-23-0	Histamine Antagonists
181695-72-7	Anti-Inflammatory Agents, Non-Steroidal
35607-66-0	Anti-Bacterial Agents; Cephalosporins
162394-19-6	Anti-Mucositis Agents
34597-40-5	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors; Propionates
149647-78-9	Antineoplastic Agents; Histone Deacetylase Inhibitors
104-31-4	Antitussive Agents
569-65-3	Anti-Allergic Agents; Antiemetics; Histamine Antagonists; Histamine H1 Antagonists
154598-52-4	Anti-HIV Agents; Reverse Transcriptase Inhibitors
129580-63-8	Antineoplastic Agents
7187-66-8	Adjuvants, Anesthesia; Antihypertensive Agents; Ganglionic Blockers; Nicotinic Antagonists
180288-69-1	Antineoplastic Agents
797-63-7	Contraceptive Agents; Contraceptive Agents, Female; Contraceptives, Oral, Synthetic
469-21-6	Antiemetics; Histamine H1 Antagonists
51322-75-9	Adrenergic alpha-2 Receptor Agonists; Analgesics; Anticonvulsants; Muscle Relaxants, Central; Muscle Relaxants, Skeletal; Neuromuscular Agents; Parasympatholytics
78110-38-0	Anti-Bacterial Agents
27469-53-0	Respiratory System Agents
532-03-6	Muscle Relaxants, Central
118072-93-8	Antihypocalcemic Agents; Antiresorptives; Bisphosphonates; Bone Density Conservation Agents
154-21-2	Anti-Bacterial Agents; Antibiotics; Protein Synthesis Inhibitors
65277-42-1	14-alpha Demethylase Inhibitors; Antifungal Agents
143090-92-0	Antirheumatic Agents; Immunosuppressive Agents
81403-80-7	Adrenergic alpha-1 Receptor Antagonists; Antihypertensive Agents
53583-79-2	Antipsychotic Agents; Dopamine Antagonists
59467-70-8	Adjuvants, Anesthesia; Anesthetics, Intravenous; Anti-Anxiety Agents; GABA Modulators; Hypnotics and Sedatives
84371-65-3	Abortifacient Agents, Steroidal; Contraceptives, Oral, Synthetic; Contraceptives, Postcoital, Synthetic; Hormone Antagonists; Luteolytic Agents; Menstruation-Inducing Agents
64-77-7	Antidiabetic Agents; Hypoglycemic Agents
469-62-5	Analgesics, Opioid; Antitussive Agents; Narcotics
2668-66-8	Anti-Inflammatory Agents
372151-71-8	Anti-Bacterial Agents
18683-91-5	Expectorants
8067-24-1	Adrenergic alpha-Antagonists; Nootropic Agents; Vasodilator Agents
127-69-5	Anti-Infective Agents; Sulfonamides
1264-72-8	Anti-Bacterial Agents
95-25-0	Muscle Relaxants, Central
74191-85-8	Adrenergic alpha-1 Receptor Antagonists; Adrenergic alpha-Antagonists; Antihypertensive Agents
95058-81-4	Antimetabolites, Antineoplastic; Antiviral Agents; Enzyme Inhibitors; Immunosuppressive Agents; Radiation-Sensitizing Agents
2955-38-6	Anti-Anxiety Agents; GABA Modulators
68844-77-9	Histamine Antagonists
31036-80-3	Adrenergic alpha-2 Receptor Agonists; Antihypertensive Agents; Narcotic Antagonists
125-71-3	Antitussive Agents; Excitatory Amino Acid Antagonists
137-58-6	Anesthetics, Local; Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
214766-78-6	Gonadotropin-releasing hormone antagonist
298-81-7	Cross-Linking Reagents; Photosensitizing Agents; Pigmenting Agents
306-40-1	Muscle Relaxants, Skeletal; Neuromuscular Depolarizing Agents
14838-15-4	Adrenergic alpha-Agonists; Appetite Depressants; Nasal Decongestants; Sympathomimetics
29039-00-7	Antihypermagnesemic Agents; Antihypocalcemic Agents; Electrolyte replenisher; Supplements
561-27-3	Analgesics, Opioid; Narcotics
525-66-6	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Vasodilator Agents
17243-38-8	Anti-Bacterial Agents; Penicillins
92623-85-3	Adrenergic Uptake Inhibitors; Antidepressive Agents; Serotonin Uptake Inhibitors
59-98-3	Adrenergic alpha-Antagonists; Antihypertensive Agents; Vasodilator Agents
7297-25-8	Vasodilator Agents
162808-62-0	Antifungal Agents
68291-97-4	Anticonvulsants; Antioxidants
209860-87-7	Ophthalmics; Prostaglandins, Synthetic
147511-69-1	Hypolipidemic Agents
86-13-5	Antidyskinetics; Antiparkinson Agents; Dopamine Uptake Inhibitors; Muscarinic Antagonists; Parasympatholytics
28395-03-1	Diuretics; Sodium Potassium Chloride Symporter Inhibitors
25812-30-0	Hypolipidemic Agents
150812-12-7	Anticonvulsants
129-03-3	Anti-Allergic Agents; Antipruritics; Gastrointestinal Agents; Histamine H1 Antagonists; Serotonin Antagonists
19982-08-2	Antidyskinetics; Antiparkinson Agents; Dopamine Agents; Excitatory Amino Acid Antagonists
61036-62-2	Anti-Bacterial Agents
317-52-2	Neuromuscular Agents
226256-56-0	Calcimimetics
9067-32-7	Adjuvants, Immunologic; Viscosupplements
1327-53-3	Antineoplastic Agents; Homeopathic Agents
15301-69-6	Parasympatholytics
5636-83-9	Anti-Allergic Agents; Antipruritics; Cholinergic Antagonists; Histamine Antagonists; Histamine H1 Antagonists
117976-89-3	Anti-Ulcer Agents; Enzyme Inhibitors
76-43-7	Anabolic Agents
185243-69-0	Immunosuppressive Agents
120066-54-8	Contrast Media
22494-42-4	Anti-Inflammatory Agents, Non-Steroidal
52-53-9	Anti-Arrhythmia Agents; Calcium Channel Blockers; Vasodilator Agents
1134-47-0	Muscle Relaxants, Skeletal; Neuromuscular Agents
220620-09-7	Anti-Bacterial Agents; Tetracyclines
66635-83-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
14639-81-7	Supplements
332348-12-6	Antirheumatic Agents; Immunosuppressive Agents
72559-06-9	Anti-Bacterial Agents; Antibiotics, Antitubercular
72956-09-3	Adrenergic alpha-1 Receptor Antagonists; Adrenergic beta-Antagonists; Antihypertensive Agents; Vasodilator Agents
1977-10-2	Antipsychotic Agents; Dopamine Antagonists
59804-37-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
134523-00-5	Anticholesteremic Agents; Hydroxymethylglutaryl-CoA Reductase Inhibitors
586-60-7	Anesthetics, Local
274901-16-5	Antidiabetic Agents; Dipeptidyl-Peptidase IV Inhibitors
29767-20-2	Antineoplastic Agents; Enzyme Inhibitors; Nucleic Acid Synthesis Inhibitors
873857-62-6	Antibiotics
32222-06-3	Antihypocalcemic Agents; Antithyroid Agents; Bone Density Conservation Agents; Calcium Channel Agonists; Vitamin D; Vitamins
106516-24-9	Antipsychotic Agents
1400-61-9	Ionophores
136790-76-6	Laxatives
144494-65-5	Fibrinolytic Agents; Platelet Aggregation Inhibitors
9001-28-9	Coagulants; Thrombotic Agents
139264-17-8	Anti-migraine Agents; Serotonin 5-HT1 Receptor Agonists; Serotonin Antagonists; Serotonin Receptor Agonists
347396-82-1	Ophthalmics
751-97-3	Tetracyclines
144598-75-4	Antipsychotic Agents
10540-29-1	Antineoplastic Agents, Hormonal; Bone Density Conservation Agents; Estrogen Antagonists; Selective Estrogen Receptor Modulators
7681-93-8	Macrolides
51264-14-3	Antineoplastic Agents; Intercalating Agents
78628-28-1	Anti-Ulcer Agents; Histamine H2 Antagonists
66376-36-1	Antihypocalcemic Agents; Antiresorptives; Bisphosphonates; Bone Density Conservation Agents
298-46-4	Analgesics, Non-Narcotic; Anticonvulsants; Antimanic Agents
148553-50-8	Analgesics; Anticonvulsants
165800-03-3	Anti-Bacterial Agents
320-67-2	Antimetabolites, Antineoplastic; Enzyme Inhibitors
51-52-5	Antimetabolites; Antithyroid Agents
77-28-1	Barbiturates; Hypnotics and Sedatives
509-86-4	Barbiturates
101828-21-1	Antifungal Agents
107753-78-6	Anti-Asthmatic Agents; Leukotriene Antagonists
6990-06-3	Anti-Bacterial Agents; Protein Synthesis Inhibitors
113-59-7	Antipsychotic Agents; Dopamine Antagonists
3116-76-5	Anti-Bacterial Agents; Penicillins
629167-92-6	Anticholesteremic Agents; Hypolipidemic Agents; Oligodeoxyribonucleotides, Antisense
65-45-2	Anti-Inflammatory Agents, Non-Steroidal
84625-61-6	14-alpha Demethylase Inhibitors; Antifungal Agents; Antiprotozoal Agents
52-01-7	Diuretics; Mineralocorticoid Receptor Antagonists
183321-74-6	Protein Kinase Inhibitors
9087-70-1	Hemostatics; Serine Proteinase Inhibitors; Trypsin Inhibitors
56-85-9	Dietary Supplements; Micronutrients; Non-Essential Amino Acids; Supplements
93413-62-8	Antidepressive Agents; Neurotransmitter Uptake Inhibitors; Serotonin Uptake Inhibitors
2751-68-0	Antipsychotic Agents
53772-83-1	Antipsychotic Agents; Dopamine Antagonists
150-59-4	Antispasmodics; Parasympatholytics
70374-39-9	Anti-Inflammatory Agents, Non-Steroidal
2078-54-8	Anesthetics, Intravenous; Hypnotics and Sedatives
78281-72-8	Anti-Inflammatory Agents; Anti-Inflammatory Agents, Non-Steroidal; Prodrugs
142340-99-6	Antiviral Agents; Reverse Transcriptase Inhibitors
37517-30-9	Adrenergic beta-1 Receptor Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympathomimetics
98319-26-7	5-alpha Reductase Inhibitors; Skin and Mucous Membrane Agents
86168-78-7	Hormone Replacement Agents
11096-26-7	Anti-anemic Agents; Hematinics
24219-97-4	Adrenergic alpha-Antagonists; Antidepressive Agents, Second-Generation; Histamine H1 Antagonists; Serotonin Antagonists
37228-64-1	Enzyme Replacement Agents; Enzymes
23674-86-4	Anti-Inflammatory Agents; Corticosteroids; Glucocorticoids
144-82-1	Anti-Infective Agents
16590-41-3	Alcohol Antagonists; Appetite Depressants; Central Nervous System Depressants; Narcotic Antagonists
7446-34-6	Antifungal Agents
315-30-0	Antimetabolites; Enzyme Inhibitors; Free Radical Scavengers; Gout Suppressants
302-79-4	Antineoplastic Agents; Keratolytic Agents
115956-12-2	Antiemetics; Serotonin Antagonists
71963-77-4	Antifungal Agents; Antimalarials; Antiprotozoal Agents; Coccidiostats; Schistosomicides
57-63-6	Estrogens
50-06-6	Anticonvulsants; Excitatory Amino Acid Antagonists; GABA Modulators; Hypnotics and Sedatives
52-86-8	Antidyskinetics; Antipsychotic Agents; Butyrophenones
396-01-0	Diuretics; Epithelial Sodium Channel Blockers
51481-65-3	Penicillins
133-67-5	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
71125-38-7	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
99-66-1	Anticonvulsants; Antimanic Agents; Enzyme Inhibitors; GABA Agents
2167-85-3	Antitussive Agents
1404-04-2	Aminoglycosides; Antibiotics
114899-77-3	Antineoplastic Agents, Alkylating
76-57-3	Analgesics, Opioid; Antitussive Agents; Narcotics
56-54-2	Anti-Arrhythmia Agents
106266-06-2	Antipsychotic Agents; Dopamine Antagonists; Serotonin Antagonists
51481-61-9	Adjuvants
2557-49-5	Anti-Inflammatory Agents; Glucocorticoids
54143-55-4	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
50-02-2	Anti-Inflammatory Agents; Antiemetics; Antineoplastic Agents, Hormonal; Glucocorticoids
75330-75-5	Anticholesteremic Agents; Hydroxymethylglutaryl-CoA Reductase Inhibitors
26833-87-4	Angiogenesis Inhibitors; Antineoplastic Agents; Antineoplastic Agents, Phytogenic
15687-27-1	Analgesics, Non-Narcotic; Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
136470-78-5	Anti-HIV Agents; Reverse Transcriptase Inhibitors
843663-66-1	Antitubercular Agents
68-88-2	Antipruritics; Histamine H1 Antagonists; Hypnotics and Sedatives
76-75-5	Anesthetics, Intravenous; Anticonvulsants; GABA Modulators; Hypnotics and Sedatives
73-48-3	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
51-43-4	Adrenergic alpha-Agonists; Adrenergic beta-Agonists; Bronchodilator Agents; Mydriatics; Sympathomimetics; Vasoconstrictor Agents
7416-34-4	Antipsychotic Agents
88040-23-7	Anti-Bacterial Agents; Cephalosporins
103222-11-3	Analgesics; Antineoplastic Agents
50-48-6	Adrenergic Uptake Inhibitors; Analgesics, Non-Narcotic; Antidepressive Agents, Tricyclic
23593-75-1	14-alpha Demethylase Inhibitors; Anti-Infective Agents, Local; Antifungal Agents
287714-41-4	Hydroxymethylglutaryl-CoA Reductase Inhibitors
62-46-4	Antioxidants; Dietary Supplements; Micronutrients; Supplements; Vitamin B Complex
118292-40-3	Dermatologic Agents; Keratolytic Agents; Prodrugs; Teratogens
146-22-5	Anti-Anxiety Agents; Anticonvulsants; GABA Modulators; Hypnotics and Sedatives
53714-56-0	Antineoplastic Agents, Hormonal; Estrogen Antagonists; Fertility Agents, Female
104227-87-4	Antiviral Agents; Nucleic Acids, Nucleotides, and Nucleosides; Prodrugs
72-69-5	Adrenergic Uptake Inhibitors; Antidepressive Agents; Antidepressive Agents, Tricyclic
39809-25-1	Antiviral Agents
124584-08-3	Cardiovascular Agents; Natriuretic Agents
188039-54-5	Antiviral Agents
60-56-0	Antithyroid Agents
220991-20-8	Cyclooxygenase 2 Inhibitors
223673-61-8	Muscle Relaxants, Genitourinary
50-47-5	Adrenergic Uptake Inhibitors; Antidepressive Agents; Antidepressive Agents, Tricyclic; Enzyme Inhibitors
59-67-6	Hypolipidemic Agents; Vasodilator Agents; Vitamin B Complex
83-89-6	Anthelmintics; Anticestodal Agents; Antimalarials; Antinematodal Agents; Antineoplastic Agents; Antiprotozoal Agents; Enzyme Inhibitors
141505-33-1	Anti-Arrhythmia Agents; Cardiotonic Agents; Phosphodiesterase Inhibitors; Vasodilator Agents
67-20-9	Anti-Infective Agents; Anti-Infective Agents, Urinary
33817-20-8	Anti-Bacterial Agents; Penicillins
105857-23-6	Thrombolytic Agents
56-40-6	Dietary Supplements; Glycine Agents; Micronutrients; Non-Essential Amino Acids; Supplements
4499-40-5	Bronchodilator Agents
30303-65-2	Antiviral Agents; Dermatologic Agents
59-87-0	Anti-Infective Agents
165101-51-9	Angiogenesis Inducing Agents
50-28-2	Anti-menopausal Agents; Contraceptive Agents; Estrogens
94-20-2	Antidiabetic Agents; Hypoglycemic Agents
4291-63-8	Antineoplastic Agents; Immunosuppressive Agents
13422-51-0	Anti-anemic Agents; Hematinics; Nutritional Support; Vitamin B Complex
23031-25-6	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Sympathomimetics; Tocolytic Agents
