annoTermID	annoClassID	annoTerm
163	2	BBM_3_Disseminated Intravascular Coagulation (DIC)
164	2	BBM_3_Ecchymosis
165	2	BBM_3_Granulocytopenia
166	2	BBM_3_Hematological Reactions
167	2	BBM_3_Hematotoxicity
168	2	BBM_3_Hemolysis
169	2	BBM_3_Hemolytic Anemia
170	2	BBM_3_Hemorrhage
171	2	BBM_3_Hypoprothrombinemia
172	2	BBM_3_Increased Bleeding
173	2	BBM_3_Induces Hemolysis in G6PD Deficiency
174	2	BBM_3_Inhibits Platelet Aggregation
175	2	BBM_3_Irreversible Bone Marrow Depression
176	2	BBM_3_Leukocytosis
177	2	BBM_3_Leukopenia
178	2	BBM_3_Low White Blood Cell Count
179	2	BBM_3_Megaloblastic Anemia
180	2	BBM_3_Methemoglobinemia
181	2	BBM_3_Myelosuppression
182	2	BBM_3_Myelotoxicity
183	2	BBM_3_Neutropenia
184	2	BBM_3_Pancytopenia
185	2	BBM_3_Paroxymal Nocturnal Hematuria
186	2	BBM_3_Petechiae
187	2	BBM_3_Purpura
188	2	BBM_3_Reticulocytosis
189	2	BBM_3_Reversible Agranulocytosis
190	2	BBM_3_Reversible Neutropenia
191	2	BBM_3_Sickle-cell Crisis
192	2	BBM_3_Sideroblastic Anemia
193	2	BBM_3_Thrombocytopenia
194	2	BBM_3_Thrombocytopenic Purpura
195	2	BBM_3_Thrombocytosis
196	2	BBM__Agranulocytosis
197	2	BBM__Aplastic Anemia
198	2	BBM__Disseminated Intravascular Coagulation (DIC)
199	2	BBM__Hemolysis
200	2	BBM__Methemoglobinemia
201	2	BBM__Neutropenia
202	2	BBM__Pancytopenia
203	2	BIL_1_Cholangitis
204	2	BIL_1_Cholecystitis
205	2	BIL_1_Gallstones
206	2	BIL_2_Cholecystitis
207	2	BIL_2_Cholelithiasis
208	2	BIL_2_Gallbladder Disease
209	2	BIL_2_Gallstones
210	2	BIL_2_Spasm of Sphincter of Oddi
211	2	BIL_3_Cholecystitis
212	2	BIL_3_Cholelithiasis
213	2	BIL_3_Gallstones
214	2	CVS_1_Angina
215	2	CVS_1_Arrhythmia
216	2	CVS_1_Atrial Tachycardia
217	2	CVS_1_Atrioventricular Blockade
218	2	CVS_1_Bradycardia
219	2	CVS_1_Cardiac Arrhythmia
220	2	CVS_1_Cardiomyopathy
221	2	CVS_1_Cardiotoxicity
222	2	CVS_1_Cardiovascular Toxicity
223	2	CVS_1_Chest Pain
224	2	CVS_1_Chest Wall Rigidity
225	2	CVS_1_Congestive Heart Failure
226	2	CVS_1_Decreased Cardiac Output
227	2	CVS_1_Decreased Left Ventricular Ejection Fraction (LVEF)
228	2	CVS_1_ECG Changes
229	2	CVS_1_Exacerbation of Arrhythmia
230	2	CVS_1_First-Degree AV block
231	2	CVS_1_Heart Block
232	2	CVS_1_Hypertension
233	2	CVS_1_Hypotension
234	2	CVS_1_Hypovolemia
235	2	CVS_1_Myocardial Damage
236	2	CVS_1_Myocardial Depression
237	2	CVS_1_Orthostatic Hypotension
238	2	CVS_1_Palpitation
239	2	CVS_1_Peripheral Vasodilation
240	2	CVS_1_Phlebitis
241	2	CVS_1_Post-Exercise Hypotension
242	2	CVS_1_Postural Hypotension
243	2	CVS_1_Premature Atrial Contractions
244	2	CVS_1_Premature Ventricular Beats
245	2	CVS_1_Premature Ventricular Contrations (PVCs)
246	2	CVS_1_Prolonged PR Interval
247	2	CVS_1_Prolonged QT Interval
248	2	CVS_1_Shock
249	2	CVS_1_Sinus Bradycardia
250	2	CVS_1_Sinus Tachycardia
251	2	CVS_1_Tachycardia
252	2	CVS_1_Thrombophlebitis
253	2	CVS_1_Vasoconstriction
254	2	CVS_1_Vasodilation
255	2	CVS_1_Ventricular Tachycardia
256	2	CVS_2_Abnormal ECG
257	2	CVS_2_Acute Dysrhythmia
258	2	CVS_2_Angina
259	2	CVS_2_Angina Pectoris
260	2	CVS_2_Arrhythmia
261	2	CVS_2_Arrythmogenic
262	2	CVS_2_Asystole
263	2	CVS_2_Atrial Fibrillation
264	2	CVS_2_Atrioventricular Blockade
265	2	CVS_2_Bradycardia
266	2	CVS_2_Cardiac Arrest
267	2	CVS_2_Cardiac Arrhythmia
268	2	CVS_2_Cardiac Conduction System Malfunction
269	2	CVS_2_Cardiac Disturbances
270	2	CVS_2_Cardiac Tamponade
271	2	CVS_2_Cardiomyopathy
272	2	CVS_2_Cardiotoxicity
273	2	CVS_2_Cardiovascular Collapse
274	2	CVS_2_Cardiovascular Depression
275	2	CVS_2_Cardiovascular Toxicity
276	2	CVS_2_Cerebrovascular Accident
277	2	CVS_2_Chest Pain
278	2	CVS_2_Circulatory Overload
279	2	CVS_2_Congestive Heart Failure
280	2	CVS_2_Decreased Arterial Blood Pressure
281	2	CVS_2_Decreased Left Ventricular Ejection Fraction (LVEF)
282	2	CVS_2_Deep Venous Thrombosis
283	2	CVS_2_ECG Abnormalities
284	2	CVS_2_ECG Changes
285	2	CVS_2_Exacerbation of Arrhythmia
286	2	CVS_2_Extrasystoles
287	2	CVS_2_Fibrillation
288	2	CVS_2_First-Degree AV block
289	2	CVS_2_Hypertension
290	2	CVS_2_Hypertensive Crisis
291	2	CVS_2_Hypotension
292	2	CVS_2_Hypovolemia
293	2	CVS_2_Instability of Blood Pressure
294	2	CVS_2_Myocardial Infarction
295	2	CVS_2_Myocardial Ischemia
296	2	CVS_2_Orthostatic Hypotension
297	2	CVS_2_Palpitation
298	2	CVS_2_Pericardial Effusion
299	2	CVS_2_Peripheral Vascular Disorder
300	2	CVS_2_Peripheral Vasodilation
301	2	CVS_2_Phlebitis
302	2	CVS_2_Postural Hypotension
303	2	CVS_2_Precipitation of Heart Failure
304	2	CVS_2_Premature Ventricular Beats
305	2	CVS_2_Premature Ventricular Contrations (PVCs)
306	2	CVS_2_Prolonged PR Interval
307	2	CVS_2_Prolonged QT Interval
308	2	CVS_2_Raynaud's Syndrome
309	2	CVS_2_Reduced Cardiac Contractility
310	2	CVS_2_ST-T Wave Changes
311	2	CVS_2_Shock
312	2	CVS_2_Sinus Bradycardia
313	2	CVS_2_Sinus Tachycardia
314	2	CVS_2_Stroke
315	2	CVS_2_Supine Hypotension
316	2	CVS_2_Supraventricular Arrhythmia
317	2	CVS_2_Supraventricular Tachycardia
318	2	CVS_2_Tachycardia
319	2	CVS_2_Telangiectasia
320	2	CVS_2_Thromboembolism
321	2	CVS_2_Thrombophlebitis
322	2	CVS_2_Thrombosis
323	2	CVS_2_Torsade de Pointes Arrhythmia
324	2	CVS_2_Varicose Vein
325	2	CVS_2_Vascular Disorder
326	2	CVS_2_Vasculitis
327	2	CVS_2_Vasoconstriction
328	2	CVS_2_Vasodilation
329	2	CVS_2_Venous Thrombosis
330	2	CVS_2_Ventricular Arrhythmia
331	2	CVS_2_Ventricular Fibrillation
332	2	CVS_2_Ventricular Tachycardia
333	2	CVS_3_Abnormal ECG
334	2	CVS_3_Aggravation of Angina
335	2	CVS_3_Angina
336	2	CVS_3_Angina Pectoris
337	2	CVS_3_Arrhythmia
338	2	CVS_3_Asystole
339	2	CVS_3_Atrial Fibrillation
340	2	CVS_3_Atrial Tachycardia
341	2	CVS_3_Atrioventricular Blockade
342	2	CVS_3_Bigeminy
343	2	CVS_3_Bradycardia
344	2	CVS_3_Cardiac Arrest
345	2	CVS_3_Cardiac Arrhythmia
346	2	CVS_3_Cardiac Conduction System Malfunction
347	2	CVS_3_Cardiac Failure
348	2	CVS_3_Cardiac Insufficiency
349	2	CVS_3_Cardiac Tamponade
350	2	CVS_3_Cardiac Valvular Malfunction
351	2	CVS_3_Cardio-Respiratory Collapse
352	2	CVS_3_Cardiodepressant
353	2	CVS_3_Cardiogenic Shock
354	2	CVS_3_Cardiomegaly
355	2	CVS_3_Cardiomyopathy
356	2	CVS_3_Cardiotoxicity
357	2	CVS_3_Cardiovascular Collapse
358	2	CVS_3_Cardiovascular Depression
359	2	CVS_3_Cardiovascular Toxicity
360	2	CVS_3_Cerebrovascular Accident
361	2	CVS_3_Chest Pain
362	2	CVS_3_Cholesterol Microembolization
363	2	CVS_3_Circulatory Collapse
364	2	CVS_3_Collapse
365	2	CVS_3_Conduction Defects in the Heart
366	2	CVS_3_Congestive Heart Failure
367	2	CVS_3_Coronary Artery Disorder
368	2	CVS_3_Coronary Thrombosis
369	2	CVS_3_Coronary Vasospasm
370	2	CVS_3_Deep Venous Thrombosis
371	2	CVS_3_ECG Abnormalities
372	2	CVS_3_ECG Changes
373	2	CVS_3_Endocardial Fibrosis
374	2	CVS_3_Exacerbation of Arrhythmia
375	2	CVS_3_Extrasystoles
376	2	CVS_3_First-Degree AV block
377	2	CVS_3_Heart Block
378	2	CVS_3_Heart Failure
379	2	CVS_3_Hemorrhagic Stroke
380	2	CVS_3_Hypersensitivity Myocarditis
381	2	CVS_3_Hypertension
382	2	CVS_3_Hypotension
383	2	CVS_3_Hypotensive Shock
384	2	CVS_3_Increased Heart Rate
385	2	CVS_3_Instability of Blood Pressure
386	2	CVS_3_Intermittent Claudication
387	2	CVS_3_Intracranial Hypertension
388	2	CVS_3_Myocardial Damage
389	2	CVS_3_Myocardial Depression
390	2	CVS_3_Myocardial Hypertrophy
391	2	CVS_3_Myocardial Infarction
392	2	CVS_3_Myocardial Ischemia
393	2	CVS_3_Myocarditis
394	2	CVS_3_Orthostatic Dysregulation
395	2	CVS_3_Orthostatic Hypotension
396	2	CVS_3_Palpitation
397	2	CVS_3_Pericardial Effusion
398	2	CVS_3_Peripheral Ischemia
399	2	CVS_3_Peripheral Vascular Disorder
400	2	CVS_3_Peripheral Vasodilation
401	2	CVS_3_Phlebitis
402	2	CVS_3_Postural Hypotension
403	2	CVS_3_Premature Atrial Contractions
404	2	CVS_3_Premature Ventricular Beats
405	2	CVS_3_Premature Ventricular Contrations (PVCs)
406	2	CVS_3_Prolonged PR Interval
407	2	CVS_3_Prolonged QT Interval
408	2	CVS_3_Pulmonary Thromboembolism
409	2	CVS_3_Raynaud's Syndrome
410	2	CVS_3_ST-T Wave Changes
411	2	CVS_3_Shock
412	2	CVS_3_Sinus Bradycardia
413	2	CVS_3_Sinus Tachycardia
414	2	CVS_3_Stroke
415	2	CVS_3_Sudden Cardiac Death
416	2	CVS_3_Supraventricular Arrhythmia
417	2	CVS_3_Supraventricular Tachycardia
418	2	CVS_3_Tachycardia
419	2	CVS_3_Telangiectasia
420	2	CVS_3_Thromboembolism
421	2	CVS_3_Thrombophlebitis
422	2	CVS_3_Thrombosis
423	2	CVS_3_Torsade de Pointes Arrhythmia
424	2	CVS_3_Transient Ischemic Attack
425	2	CVS_3_Valvular Disorders
426	2	CVS_3_Varicose Vein
427	2	CVS_3_Vascular Disorder
428	2	CVS_3_Vasculitis
429	2	CVS_3_Vasoconstriction
430	2	CVS_3_Vasodilation
431	2	CVS_3_Venous Thrombosis
432	2	CVS_3_Ventricular Arrhythmia
433	2	CVS_3_Ventricular Extrasystoles
434	2	CVS_3_Ventricular Fibrillation
435	2	CVS_3_Ventricular Tachycardia
436	2	CVS__Hypertension
437	2	CVS__Vasculitis (Structure Class Implication)
438	2	DNA_1_Carcinogenicity
439	2	DNA_1_Clastogenicity
440	2	DNA_1_Genotoxicity
441	2	DNA_1_Lymphoma
442	2	DNA_1_Mutagenicity
443	2	DNA_1_Pancreatic Adenocarcinoma
444	2	DNA_2_Carcinogenicity
445	2	DNA_2_Carcinoid Tumors
446	2	DNA_2_Carcinoma of Prostate
447	2	DNA_2_Chromosome Aberration
448	2	DNA_2_Clastogenicity
449	2	DNA_2_Endometrial Carcinoma
450	2	DNA_2_Endometrial Hyperplasia
451	2	DNA_2_Genotoxicity
452	2	DNA_2_Hepatic Adenoma
453	2	DNA_2_Hepatic Tumors
454	2	DNA_2_Hepatocellular Carcinoma
455	2	DNA_2_Increased Incidence of Breast Carcinoma
456	2	DNA_2_Malignant Tumors
457	2	DNA_2_Mutagenicity
458	2	DNA_2_Renal Pelvic Tumors
459	2	DNA_2_Transitional Cell Carcinoma
460	2	DNA_3_Carcinogenicity
461	2	DNA_3_Carcinoid Tumors
462	2	DNA_3_Carcinoma of Prostate
463	2	DNA_3_Clastogenicity
464	2	DNA_3_Endometrial Carcinoma
465	2	DNA_3_Endometrial Hyperplasia
466	2	DNA_3_Gastrointestinal Neoplasms
467	2	DNA_3_Genotoxicity
468	2	DNA_3_Hepatic Tumors
469	2	DNA_3_Hepatocellular Carcinoma
470	2	DNA_3_Hepatoma
471	2	DNA_3_Increased Incidence of Breast Carcinoma
472	2	DNA_3_Invasive Ovarian Tumor
473	2	DNA_3_Lymphoma
474	2	DNA_3_Mutagenicity
475	2	DNA_3_Secondary Malignanacy
476	2	DNA__Chromosome Aberration
477	2	ELT_1_Electrolyte Imbalance
478	2	ELT_1_Fluid and Electrolyte Disturbance
479	2	ELT_1_Fluid and Electrolyte Loss
480	2	ELT_1_Hypercalcemia
481	2	ELT_1_Hyperkalemia
482	2	ELT_1_Hypocalcemia
483	2	ELT_1_Hypochloremia
484	2	ELT_1_Hypokalemia
485	2	ELT_1_Hypomagnesemia
486	2	ELT_1_Hyponatremia
487	2	ELT_2_Disturbances in Electrolyte Balance
488	2	ELT_2_Electrolyte Imbalance
489	2	ELT_2_Fluid and Electrolyte Disturbance
490	2	ELT_2_Hypercalcemia
491	2	ELT_2_Hyperchloremia
492	2	ELT_2_Hyperkalemia
493	2	ELT_2_Hypernatremia
494	2	ELT_2_Hypocalcemia
495	2	ELT_2_Hypochloremia
496	2	ELT_2_Hypokalemia
497	2	ELT_2_Hypomagnesemia
498	2	ELT_2_Hyponatremia
499	2	ELT_2_Negative Nitrogen Balance
500	2	ELT_3_Electrolyte Imbalance
501	2	ELT_3_Hypercalcemia
502	2	ELT_3_Hyperchloremic Metabolic Acidosis
503	2	ELT_3_Hyperkalemia
504	2	ELT_3_Hypernatremia
505	2	ELT_3_Hypochloremia
506	2	ELT_3_Hypokalemia
507	2	ELT_3_Hypokalemic Metabolic Alkalosis
508	2	ELT_3_Hypomagnesemia
509	2	ELT_3_Hyponatremia
510	2	EMB_1_Abortion
511	2	EMB_1_Embryotoxicity
512	2	EMB_1_Fetal / Neonatal Morbidity and Mortality
513	2	EMB_1_Fetal Renal Damage
514	2	EMB_1_Fetal Toxicity
515	2	EMB_1_Fetal Warfarin Syndrome
516	2	EMB_1_Teratogenic Fetal Damage
517	2	EMB_1_Teratogenicity
518	2	EMB_2_Abortion
519	2	EMB_2_Embryotoxicity
520	2	EMB_2_Fetal / Neonatal Morbidity and Mortality
521	2	EMB_2_Fetal Alcohol Syndrome
522	2	EMB_2_Fetal Death
523	2	EMB_2_Fetal Distress
524	2	EMB_2_Fetal Hydantoin Syndrome
525	2	EMB_2_Fetal Toxicity
526	2	EMB_2_Oligohydramnios
527	2	EMB_2_Premature Closure of Ductus Arteriosus
528	2	EMB_2_Teratogenicity
529	2	EMB_3_Abortion
530	2	EMB_3_Congenital Malformations
531	2	EMB_3_Embryotoxicity
532	2	EMB_3_Fetal / Neonatal Morbidity and Mortality
533	2	EMB_3_Fetal Death
534	2	EMB_3_Fetal Distress
535	2	EMB_3_Fetal Renal Damage
536	2	EMB_3_Fetal Toxicity
537	2	EMB_3_Oligohydramnios
538	2	EMB_3_Premature Closure of Ductus Arteriosus
539	2	EMB_3_Teratogenic Fetal Damage
540	2	EMB_3_Teratogenicity
541	2	EMB__Fetal Toxicity
542	2	END_1_Adrenal Insufficiency
543	2	END_1_Breast Tenderness
544	2	END_1_Decreases HDL
545	2	END_1_Diabetes Mellitus
546	2	END_1_Endocrine Abnormalities
547	2	END_1_Exacerbation of Diabetes
548	2	END_1_Galactorrhea
549	2	END_1_Gynecomastia
550	2	END_1_Hemosiderosis
551	2	END_1_Hirsutism
552	2	END_1_Hot Flashes
553	2	END_1_Hypercholesteremia
554	2	END_1_Hyperglycemia
555	2	END_1_Hyperphosphatemia
556	2	END_1_Hyperprolactinemia
557	2	END_1_Hyperthyroidism
558	2	END_1_Hypertriglyceridemia
559	2	END_1_Hypervitaminosis
560	2	END_1_Hypoglycemia
561	2	END_1_Hypouricemia
562	2	END_1_Impaired Glucose Tolerance
563	2	END_1_Increased Serum Lipids
564	2	END_1_Increases LDL
565	2	END_1_Metabolic Acidosis
566	2	END_1_Virilization
567	2	END_2_Acute Intermittent Porphyria
568	2	END_2_Breast Discomfort
569	2	END_2_Breast Tenderness
570	2	END_2_Cushing's Syndrome
571	2	END_2_Cushingoid Features
572	2	END_2_Decreased LDL
573	2	END_2_Decreased Triglycerides
574	2	END_2_Decreases HDL
575	2	END_2_Diabetes
576	2	END_2_Diabetes Mellitus
577	2	END_2_Diabetogenesis
578	2	END_2_Difficulty in Diabetes Control
579	2	END_2_Endocrine Abnormalities
580	2	END_2_Endocrine System Toxicity
581	2	END_2_Exacerbation of Diabetes
582	2	END_2_Exacerbation of Gout
583	2	END_2_Galactorrhea
584	2	END_2_Glucose Intolerance
585	2	END_2_Goiter
586	2	END_2_Growth Deficiencies
587	2	END_2_Growth Inhibition
588	2	END_2_Growth Velocity Reduction
589	2	END_2_Gynecomastia
590	2	END_2_Heat Intolerance
591	2	END_2_Hemosiderosis
592	2	END_2_Hirsutism
593	2	END_2_Hypercholesteremia
594	2	END_2_Hyperglycemia
595	2	END_2_Hyperlipidemia
596	2	END_2_Hyperphosphatemia
597	2	END_2_Hyperprolactinemia
598	2	END_2_Hypertriglyceridemia
599	2	END_2_Hypoglycemia
600	2	END_2_Hypophosphatemia
601	2	END_2_Hypothalamic-Pituitary-Adrenal Suppression
602	2	END_2_Hypothyroidism
603	2	END_2_Increased Creatine Phosphokinase
604	2	END_2_Increased HDL
605	2	END_2_Increased Serum Lipids
606	2	END_2_Increases LDL
607	2	END_2_Irregularities in Bone Growth
608	2	END_2_Ketoacidosis
609	2	END_2_Lactic Acidosis
610	2	END_2_Lipodystrophy
611	2	END_2_Masculinizing Effects
612	2	END_2_Mask Symptoms of Hypoglycemia in Diabetics
613	2	END_2_Mask Symptoms of Thyrotoxicosis
614	2	END_2_Metabolic Acidosis
615	2	END_2_Metabolic Alkalosis
616	2	END_2_Metabolic Disturbance
617	2	END_2_Osteomalacia
618	2	END_2_Osteoporosis
619	2	END_2_Porphyria
620	2	END_2_Suppression of Lactation
621	2	END_2_Syndrome of Inappropriate Secretion of Antidiuretic Hormone (SIADH)
622	2	END_2_Virilization
623	2	END_3_Acute Gouty Arthritis
624	2	END_3_Acute Intermittent Porphyria
625	2	END_3_Adrenal Insufficiency
626	2	END_3_Adrenal Suppression
627	2	END_3_Breast Tenderness
628	2	END_3_Cushing's Syndrome
629	2	END_3_Decreased Cholesterol
630	2	END_3_Diabetes Mellitus
631	2	END_3_Ectopic Calcifications
632	2	END_3_Exacerbation of Porphyria
633	2	END_3_Galactorrhea
634	2	END_3_Glucose Intolerance
635	2	END_3_Goiter
636	2	END_3_Gout
637	2	END_3_Growth Inhibition
638	2	END_3_Gynecomastia
639	2	END_3_Hirsutism
640	2	END_3_Hot Flashes
641	2	END_3_Hyperammonemia
642	2	END_3_Hypercholesteremia
643	2	END_3_Hyperglycemia
644	2	END_3_Hypermetabolic Syndrome
645	2	END_3_Hyperphosphatemia
646	2	END_3_Hyperprolactinemia
647	2	END_3_Hypertriglyceridemia
648	2	END_3_Hypervitaminosis
649	2	END_3_Hypoglycemia
650	2	END_3_Hypoglycemic Coma
651	2	END_3_Hypophosphatemia
652	2	END_3_Hypothalamic-Pituitary-Adrenal Suppression
653	2	END_3_Hypothyroidism
654	2	END_3_Hypouricemia
655	2	END_3_Impaired Glucose Tolerance
656	2	END_3_Increased Creatine Phosphokinase
657	2	END_3_Increased Plasma Triglycerides
658	2	END_3_Ketoacidosis
659	2	END_3_Lactic Acidosis
660	2	END_3_Metabolic Acidosis
661	2	END_3_Metabolic Alkalosis
662	2	END_3_Osteomalacia
663	2	END_3_Osteopenia
664	2	END_3_Osteoporosis
665	2	END_3_Pellagra-Like Syndrome
666	2	END_3_Porphyria
667	2	END_3_Suppression of Lactation
668	2	END_3_Syndrome of Inappropriate Secretion of Antidiuretic Hormone (SIADH)
669	2	END_3_Thyroid Enlargement
670	2	END_3_Virilization
671	2	GIS_1_Abdominal Cramps
672	2	GIS_1_Abdominal Distention
673	2	GIS_1_Abdominal Distress
674	2	GIS_1_Abdominal Pain
675	2	GIS_1_Bitter Taste
676	2	GIS_1_Bloating
677	2	GIS_1_Constipation
678	2	GIS_1_Diarrhea
679	2	GIS_1_Distention
680	2	GIS_1_Dry Mouth
681	2	GIS_1_Dysgeusia
682	2	GIS_1_Dyspepsia
683	2	GIS_1_Dysphagia
684	2	GIS_1_Emesis
685	2	GIS_1_Epigastric Pain
686	2	GIS_1_Eructation
687	2	GIS_1_Esophagitis
688	2	GIS_1_Flatulence
689	2	GIS_1_Garlicky Breath
690	2	GIS_1_Gastralgia
691	2	GIS_1_Gastric Irritation
692	2	GIS_1_Gastritis
693	2	GIS_1_Gastrointestinal Bleeding
694	2	GIS_1_Gastrointestinal Disorder
695	2	GIS_1_Gastrointestinal Distress
696	2	GIS_1_Gastrointestinal Disturbances
697	2	GIS_1_Gastrointestinal Hemorrhage
698	2	GIS_1_Gastrointestinal Irritation
699	2	GIS_1_Gastrointestinal Toxicity
700	2	GIS_1_Gastrointestinal Upset
701	2	GIS_1_Gingival Hyperplasia
702	2	GIS_1_Gingival Hypertrophy
703	2	GIS_1_Halitosis
704	2	GIS_1_Heartburn
705	2	GIS_1_Hypersalivation
706	2	GIS_1_Increased Frequency of Bowel Movements
707	2	GIS_1_Indigestion
708	2	GIS_1_Melena
709	2	GIS_1_Metallic Taste
710	2	GIS_1_Nausea
