CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
48	100-97-0	Methenamine	C6H12N4		InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2	VKYKSIONXSXAKP-UHFFFAOYSA-N	C1N2CN3CN1CN(C2)C3
49	1000-05-1	1,1,3,3,5,5,7,7-Octamethyltetrasiloxane	C8H26O3Si4	[[(dimethyl-$l^{3}-silanyl)oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilicon	InChI=1S/C8H24O3Si4/c1-12(2)9-14(5,6)11-15(7,8)10-13(3)4/h1-8H3	ILBWBNOBGCYGSU-UHFFFAOYSA-N	C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C
50	10001-13-5	Pexantel	C12H22N2O	cyclohexyl-(4-methylpiperazin-1-yl)methanone	InChI=1S/C12H22N2O/c1-13-7-9-14(10-8-13)12(15)11-5-3-2-4-6-11/h11H,2-10H2,1H3	FRSIMZWJVMLPAI-UHFFFAOYSA-N	CN1CCN(CC1)C(=O)C1CCCCC1
51	10004-44-1	Hymexazol	C4H5NO2	5-methyl-1,2-oxazol-3-one	InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H,1H3,(H,5,6)	KGVPNLBXJKTABS-UHFFFAOYSA-N	CC1=CC(=O)NO1
52	10016-20-3	alpha-Cyclodextrin	C36H60O30		InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H,1-6H2/t7-,8-,9-,10-,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-/m1/s1	HFHDHCJBZVLPGP-RWMJIURBSA-N	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
53	1002-69-3	1-Chlorodecane	C10H21Cl	1-chlorodecane	InChI=1S/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3	ZTEHOZMYMCEYRM-UHFFFAOYSA-N	CCCCCCCCCCCl
54	1002-84-2	Pentadecanoic acid	C15H30O2	pentadecanoic acid	InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)	WQEPLUUGTLDZJY-UHFFFAOYSA-N	CCCCCCCCCCCCCCC(O)=O
55	10022-28-3	1,1-Dimethoxyoctane	C10H22O2	1,1-dimethoxyoctane	InChI=1S/C10H22O2/c1-4-5-6-7-8-9-10(11-2)12-3/h10H,4-9H2,1-3H3	BZOOCKAFKVYAOZ-UHFFFAOYSA-N	CCCCCCCC(OC)OC
56	10022-31-8	Barium nitrate	BaN2O6	barium(2+);dinitrate	InChI=1S/Ba.2NO3/c;2*2-1(3)4/q+2;2*-1	IWOUKMZUPDVPGQ-UHFFFAOYSA-N	[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O
57	10023-54-8	Aminoquinol	C26H31Cl2N3	4-N-[7-chloro-2-[2-(2-chlorophenyl)ethenyl]quinolin-4-yl]-1-N,1-N-diethylpentane-1,4-diamine	InChI=1S/C26H31Cl2N3/c1-4-31(5-2)16-8-9-19(3)29-26-18-22(14-12-20-10-6-7-11-24(20)28)30-25-17-21(27)13-15-23(25)26/h6-7,10-15,17-19H,4-5,8-9,16H2,1-3H3,(H,29,30)	CMLVHSVFSYNMGM-UHFFFAOYSA-N	CCN(CC)CCCC(C)NC1=CC(=NC2=C1C=CC(=C2)Cl)C=CC3=CC=CC=C3Cl
58	10024-93-8	Neodymium(III) chloride	Cl3Nd	trichloroneodymium	InChI=1S/3ClH.Nd/h3*1H;/q;;;+3/p-3	ATINCSYRHURBSP-UHFFFAOYSA-K	Cl[Nd](Cl)Cl
59	10025-74-8	Dysprosium(III) chloride	Cl3Dy	trichlorodysprosium	InChI=1S/3ClH.Dy/h3*1H;/q;;;+3/p-3	BOXVSFHSLKQLNZ-UHFFFAOYSA-K	Cl[Dy](Cl)Cl
60	10025-82-8	Indium trichloride	Cl3In	trichloroindigane	InChI=1S/3ClH.In/h3*1H;/q;;;+3/p-3	PSCMQHVBLHHWTO-UHFFFAOYSA-K	Cl[In](Cl)Cl
61	10025-87-3	Phosphoric trichloride	Cl3OP		InChI=1S/Cl3OP/c1-5(2,3)4	XHXFXVLFKHQFAL-UHFFFAOYSA-N	ClP(Cl)(Cl)=O
62	10025-91-9	Antimony trichloride	Cl3Sb	trichlorostibane	InChI=1S/3ClH.Sb/h3*1H;/q;;;+3/p-3	FAPDDOBMIUGHIN-UHFFFAOYSA-K	Cl[Sb](Cl)Cl
63	10026-13-8	Phosphorus pentachloride	Cl5P	pentachloro-$l^{5}-phosphane	InChI=1S/Cl5P/c1-6(2,3,4)5	UHZYTMXLRWXGPK-UHFFFAOYSA-N	ClP(Cl)(Cl)(Cl)Cl
64	10026-24-1	Cobalt sulfate heptahydrate	CoH14O11S	cobalt(2+);sulfate;heptahydrate	InChI=1S/Co.H2O4S.7H2O/c;1-5(2,3)4;;;;;;;/h;(H2,1,2,3,4);7*1H2/q+2;;;;;;;;/p-2	MEYVLGVRTYSQHI-UHFFFAOYSA-L	O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O
65	100286-90-6	Irinotecan hydrochloride	C33H39ClN4O6		InChI=1S/C33H38N4O6.ClH/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2;/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3;1H/t33-;/m0./s1	GURKHSYORGJETM-WAQYZQTGSA-N	Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12
66	100299-08-9	Pemirolast potassium	C10H7KN6O	potassium;9-methyl-3-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)pyrido[1,2-a]pyrimidin-4-one	InChI=1S/C10H7N6O.K/c1-6-3-2-4-16-9(6)11-5-7(10(16)17)8-12-14-15-13-8;/h2-5H,1H3;/q-1;+1	NMMVKSMGBDRONO-UHFFFAOYSA-N	[K+].CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=N[N-]1
67	10030-73-6	(E)-Hexadec-9-enoic acid	C16H30O2	(E)-hexadec-9-enoic acid	InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7+	SECPZKHBENQXJG-BQYQJAHWSA-N	CCCCCC\C=C\CCCCCCCC(O)=O
68	10032-15-2	Hexyl 2-methylbutanoate	C11H22O2	hexyl 2-methylbutanoate	InChI=1S/C11H22O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h10H,4-9H2,1-3H3	YUECNVSODFDKOQ-UHFFFAOYSA-N	CCCCCCOC(=O)C(C)CC
69	10034-93-2	Hydrazine sulfate	H6N2O4S	hydrazine;sulfuric acid	InChI=1S/H4N2.H2O4S/c1-2;1-5(2,3)4/h1-2H2;(H2,1,2,3,4)	ZGCHATBSUIJLRL-UHFFFAOYSA-N	NN.OS(O)(=O)=O
70	10039-54-0	Hydroxylamine sulfate (2:1)	H8N2O6S	hydroxyazanium;sulfate	InChI=1S/2H4NO.H2O4S/c2*1-2;1-5(2,3)4/h2*2H,1H3;(H2,1,2,3,4)/q2*+1;/p-2	VGYYSIDKAKXZEE-UHFFFAOYSA-L	[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O
71	10040-45-6	Picosulfate sodium	C18H13NNa2O8S2	disodium;[4-[pyridin-2-yl-(4-sulfonatooxyphenyl)methyl]phenyl] sulfate	InChI=1S/C18H15NO8S2.2Na/c20-28(21,22)26-15-8-4-13(5-9-15)18(17-3-1-2-12-19-17)14-6-10-16(11-7-14)27-29(23,24)25;;/h1-12,18H,(H,20,21,22)(H,23,24,25);;/q;2*+1/p-2	GOZDTZWAMGHLDY-UHFFFAOYSA-L	[Na+].[Na+].[O-]S(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1
72	10042-59-8	2-Propyl-1-heptanol	C10H22O	2-propylheptan-1-ol	InChI=1S/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3	YLQLIQIAXYRMDL-UHFFFAOYSA-N	CCCCCC(CO)CCC
73	10043-35-3	Boric acid	BH3O3	boric acid	InChI=1S/BH3O3/c2-1(3)4/h2-4H	KGBXLFKZBHKPEV-UHFFFAOYSA-N	OB(O)O
74	10043-52-4	Calcium chloride	CaCl2	calcium;dichloride	InChI=1S/Ca.2ClH/h;2*1H/q+2;;/p-2	UXVMQQNJUSDDNG-UHFFFAOYSA-L	[Cl-].[Cl-].[Ca++]
75	10049-83-9	Pyrithioxin dihydrochloride	C16H22Cl2N2O4S2	5-[[[5-hydroxy-4-(hydroxymethyl)-6-methylpyridin-3-yl]methyldisulfanyl]methyl]-4-(hydroxymethyl)-2-methylpyridin-3-ol;dihydrochloride	InChI=1S/C16H20N2O4S2.2ClH/c1-9-15(21)13(5-19)11(3-17-9)7-23-24-8-12-4-18-10(2)16(22)14(12)6-20;;/h3-4,19-22H,5-8H2,1-2H3;2*1H	HRZWYHGGJOWGRI-UHFFFAOYSA-N	Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1
76	10052-47-8	N,N-Diethyl-N-methylethanaminium chloride	C7H18ClN	triethyl(methyl)azanium;chloride	InChI=1S/C7H18N.ClH/c1-5-8(4,6-2)7-3;/h5-7H2,1-4H3;1H/q+1;/p-1	NIUZJTWSUGSWJI-UHFFFAOYSA-M	[Cl-].CC[N+](C)(CC)CC
77	10061-01-5	(Z)-Dichloropropene	C3H4Cl2	(Z)-1,3-dichloroprop-1-ene	InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1-	UOORRWUZONOOLO-UPHRSURJSA-N	ClC\C=C/Cl
78	100643-71-8	Desloratadine	C19H19ClN2	8-chloro-11-piperidin-4-ylidene-5,6-dihydrobenzo[1,2]cyclohepta[2,4-b]pyridine	InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2	JAUOIFJMECXRGI-UHFFFAOYSA-N	ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1
79	100678-32-8	Cifenline succinate	C22H24N2O4	butanedioic acid;2-(2,2-diphenylcyclopropyl)-4,5-dihydro-1H-imidazole	InChI=1S/C18H18N2.C4H6O4/c1-3-7-14(8-4-1)18(15-9-5-2-6-10-15)13-16(18)17-19-11-12-20-17;5-3(6)1-2-4(7)8/h1-10,16H,11-13H2,(H,19,20);1-2H2,(H,5,6)(H,7,8)	XFUIOIWYMHEPIE-UHFFFAOYSA-N	OC(=O)CCC(O)=O.C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1
80	1007-28-9	Deisopropylatrazine	C5H8ClN5	6-chloro-2-N-ethyl-1,3,5-triazine-2,4-diamine	InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H2,1H3,(H3,7,8,9,10,11)	IVENSCMCQBJAKW-UHFFFAOYSA-N	CCNC1=NC(N)=NC(Cl)=N1
81	1008-65-7	Fenadiazole	C8H6N2O2	(6Z)-6-(3H-1,3,4-oxadiazol-2-ylidene)cyclohexa-2,4-dien-1-one	InChI=1S/C8H6N2O2/c11-7-4-2-1-3-6(7)8-10-9-5-12-8/h1-5,10H/b8-6-	HKVNQGYCUGIYTA-VURMDHGXSA-N	OC1=CC=CC=C1C1=NN=CO1
82	1008-72-6	Sodium 2-formylbenzenesulfonate	C7H5NaO4S	sodium;2-formylbenzenesulfonate	InChI=1S/C7H6O4S.Na/c8-5-6-3-1-2-4-7(6)12(9,10)11;/h1-5H,(H,9,10,11);/q;+1/p-1	ADPUQRRLAAPXGT-UHFFFAOYSA-M	[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O
83	10081-67-1	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	C30H31N	4-(2-phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	InChI=1S/C30H31N/c1-29(2,23-11-7-5-8-12-23)25-15-19-27(20-16-25)31-28-21-17-26(18-22-28)30(3,4)24-13-9-6-10-14-24/h5-22,31H,1-4H3	UJAWGGOCYUPCPS-UHFFFAOYSA-N	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
84	1009-61-6	1,1-(1,4-Phenylene)bis-ethanone	C10H10O2	1-(4-acetylphenyl)ethanone	InChI=1S/C10H10O2/c1-7(11)9-3-5-10(6-4-9)8(2)12/h3-6H,1-2H3	SKBBQSLSGRSQAJ-UHFFFAOYSA-N	CC(=O)C1=CC=C(C=C1)C(C)=O
85	1009-93-4	2,2,4,4,6,6-Hexamethyl-1,3,5,2,4,6-triazatrisilinane	C6H21N3Si3	2,2,4,4,6,6-hexamethyl-1,3,5,2,4,6-triazatrisilinane	InChI=1S/C6H21N3Si3/c1-10(2)7-11(3,4)9-12(5,6)8-10/h7-9H,1-6H3	WGGNJZRNHUJNEM-UHFFFAOYSA-N	C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1
86	10094-34-5	1,1-Dimethyl-2-phenylethyl butanoate	C14H20O2	(2-methyl-1-phenylpropan-2-yl) butanoate	InChI=1S/C14H20O2/c1-4-8-13(15)16-14(2,3)11-12-9-6-5-7-10-12/h5-7,9-10H,4,8,11H2,1-3H3	SHSGYHAHMQLYRB-UHFFFAOYSA-N	CCCC(=O)OC(C)(C)CC1=CC=CC=C1
