1000287-05-7	DB15623	HIV-1 protease
13422-51-0	DB00200	MTR; MUT; MTRR; MMAA; TCN1; AMN; CUBN; MMAB; MMACHC
134404-52-7	DB04258	VDR
134448-10-5	DB02855	CTSB
1345510-43-1	DB15617	HBA1; TFRC; TFR2
13461-01-3	DB01615	HRH1
1346242-81-6	DB12147	FGFR1; FGFR2; FGFR3; FGFR4; RET; CSF1R; PDGFRA; PDGFRB; KIT; KDR
1346452-25-2	DB13007	NECTIN4
134861-34-0	DB02975	tufA
1350289-85-8	DB11834	IL23A
135354-02-8	DB06393	HTR1A
1353550-13-6	DB13164	EGFR
1353900-92-1	DB13878	NS5A
13548-38-4	DB14527	CYB5A
1356-18-9	DB00785	CHRM2; CHRM1; CHRM3; CHRM4; CHRM5
1357448-54-4	DB13884	F10
135968-09-1	DB13144	CSF3R
136-70-9	DB06814	ADRB2
136-77-6	DB11254	TOP1; TGM2; TYR
1360457-46-0	DB12107	ampC; bla; KPC-2; ; blaCTX-M-14; blaCTX-M-27; blaSHV; bla; bla; MIR-1; fox-7
13609-67-1	DB14540	ANXA1; NR3C1; HSD11B2; HSD3B1
136152-82-4	DB03190	pbpX
1361644-26-9	DB06013	TOP2A
136199-02-5	DB12670	ADORA1
1363853-26-2	DB14700	F8
136470-65-0	DB04975	TOP2A
1365970-03-1	DB13879	
13674-05-0	DB01442	HTR2A; SLC6A3; SLC6A4; SLC6A2; SLC18A2; SLC18A1; MAOA; MAOB
1369764-02-2	DB11951	HCRTR1; HCRTR2
1374248-77-7	DB15328	CALCRL
1374853-91-4	DB09037	PDCD1
1377049-84-7	DB11613	NS5A
1379686-29-9	DB14014	NR1D2; NR1D1
1379686-30-2	DB14013	NR1D1; NR1D2
1379746-42-5	DB11854	env
138068-37-8	DB00001	F2
1380723-44-3	DB11595	CD274
13825-86-0	DB14530	CYB5A
138530-94-6	DB05351	ATP4A; ATP4B; DDAH1
1388129-63-2	DB13998	F10; PHYH; F9; ASGR2; HSPA5; CALR; CANX; LMAN1; LRP1; MCFD2; VWF
138890-59-2	DB03877	CA2
139-12-8	DB14518	TF; ATP1A1; KLK1; APP
139076-62-3	DB00025	F10; F9; VWF; PHYH; ASGR2; HSPA5; CALR; CANX; LMAN1; LRP1; MCFD2
1391489-32-9	DB13948	HTR2A
1392826-25-3	DB12161	SLC18A2
1393477-72-9	DB11942	XPO1
140215-98-1	DB02727	NOS1
1403-66-3	DB00798	rpsL; LRP2; nadE; DHFR
1403254-99-8	DB12887	EZH2; EZH1
1404-04-2	DB00994	rpsL; CASR
1404-88-2	DB13503	ACHE; lacZ
1405-86-3	DB13751	HSD11B1; TNF; CASP3; NFKB2; NFKB1; LPL
1406-16-2	DB11094	VDR; GC
140608-64-6	DB00075	CD3D; CD3E; CD3G; CD247; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C
140651-18-9	DB07731	CDK2
141-01-5	DB14491	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
141184-34-1	DB02660	PDE4B
141200-24-0	DB14034	PPARG
141400-58-0	DB05448	TXNRD1
141672-08-4	DB04738	PPP1CC
141702-36-5	DB05659	ponA; penA; ftsI
141758-74-9	DB01276	GLP1R
14196-86-2	DB02678	LGALS7
142-10-9	DB02263	gap; gapN; gapA
142-72-3	DB13996	ATP1A1
1420-36-6	DB03059	menB; ; mvaS; mvaS; HADH; phbA; ACADS; ECHS1
142001-63-6	DB06660	TACR2
1420477-60-6	DB11703	BTK
142128-57-2	DB05667	CYP11B1; CYP51A1
1421373-65-0	DB09330	EGFR
14215-77-1	DB04382	lacZ
142234-85-3	DB01911	hemH
1422959-91-8	DB15593	DMD
142569-99-1	DB06138	EDNRB
1426055-14-2	DB14597	KLKB1
142632-32-4	DB04886	gag-pol
142852-50-4	DB04859	ACHE
1428935-60-7	DB11714	CD274
143090-92-0	DB00026	IL1R1
143653-53-6	DB00054	ITGB3; ITGA2B; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C; VTN
14367-54-5	DB07673	npr
144-76-3	DB01145	
1441368-51-9	DB08046	CA2
144245-52-3	DB06759	UL122; UL122
144285-77-8	DB04191	gag-pol
144348-08-3	DB04853	ADORA2A
144598-75-4	DB01267	HTR2A; DRD2; HRH1; ADRA1A; ADRA1B; DRD4; HTR1D; DRD3; HTR2C; ADRA2A; ADRA2B; ADRA2C; HTR1A; DRD1; HTR7
1446321-46-5	DB14975	HBA1
1446502-11-9	DB13874	IDH2
1446756-47-3	DB00144	DGKG; DGKD; PTDSS2; SMPD4; SMPD3; ATP8A1; PRKCA; PTDSS1; PISD; SCARB1
1448347-49-6	DB14568	IDH1
144875-48-9	DB06530	TLR7; TLR8
144980-29-0	DB06506	HTR1A
145040-37-5	DB00796	AGTR1
14513-15-6	DB15493	SIRT1; SIRT2; SIRT5
145137-38-8	DB04925	PLG
145155-23-3	DB00068	IFNAR1; IFNAR2
145258-61-3	DB00060	IFNAR1; IFNAR2
145464-28-4	DB00089	FOLH1
1454846-35-5	DB12130	ALK
145941-26-0	DB00038	IL11RA
145969-30-8	DB05422	SLC6A4
14611-51-9	DB01037	MAOB; MAOA
1461640-62-9	DB14811	CD38
146479-72-3	DB00066	FSHR
14687-15-1	DB03879	MBL2; cslA
147-71-7	DB01694	dlgD; B3GAT1; TREM1; DDX6; ; HIF1AN; serA; lpxA; ATP6V1C1; rmlC; ; phnA; 
147127-20-6	DB14126	pol; rt; 
14729-84-1	DB14501	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
14755-47-6	DB02205	; GAPDHS
148-61-8	DB02731	OXCT1; 
148372-04-7	DB05708	CHRNA7
148396-36-5	DB06472	ITGA2B; ITGB3
148465-45-6	DB04941	CFTR; ANO1
149-30-4	DB11496	TPO
149859-17-6	DB02341	CELA1; ELANE
15015-81-3	DB02776	; LIP1
150322-43-3	DB06209	P2RY12
150375-75-0	DB13929	OXTR; AVPR1A
150683-30-0	DB06212	AVPR2; AVPR1A
151057-28-2	DB04661	CD1D
151126-32-8	DB01278	CALCR; RAMP1; RAMP2; RAMP3
151272-78-5	DB05624	GNRHR
151662-36-1	DB13173	IGF2R
15176-29-1	DB13421	DNApol
151879-73-1	DB06451	PRKCA
15209-11-7	DB02007	HK1; algC; glvA; PYGM; otsA; glmS; bglT; GPI; AKR1B1
15209-12-8	DB04122	zwf
152923-56-3	DB00111	IL2RA; IL2RB; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C
152923-57-4	DB00044	LHCGR
1531589-13-5	DB14864	VEGFA
153436-22-7	DB06741	GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
1535212-07-7	DB12026	NS3/4A
1537032-82-8	DB11945	CD274
15394-62-4	DB13720	CHRM3
154235-83-3	DB06247	GRIA1
154361-49-6	DB00113	CEACAM1
15460-68-1	DB04053	rhdA
154652-83-2	DB06354	GRIK1; GABBR1
154738-42-8	DB06587	MLNR
155-54-4	DB02129	pyrC
15574-96-6	DB06153	CHRM1; CHRM2; CHRM3; HTR2A; HTR2B; HTR2C; HTR1A; HTR1B; HTR1D; HRH1; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
15585-43-0	DB05855	CHRNB2; CXCL8
156-86-5	DB03974	NOS3
156227-98-4	DB04956	TNF
156719-37-8	DB03953	NOS2
15686-83-6	DB11156	GPR35; CHRM1
15713-12-9	DB02667	
157716-52-4	DB06641	AKT1; MAPK1; PRKCA
1577222-14-0	DB14783	CHRNA10
1578199-75-3	DB14042	CALCA; CALCB
1578245-44-9	DB15498	TTK
1582205-90-0	DB14039	CALCRL
1585973-65-4	DB11731	EGFR; TUBB
15892-28-1	DB01885	lacZ
159138-80-4	DB06468	SLC9A1
159359-22-5	DB13983	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRG1; GABRG2; GABRG3
159519-65-0	DB00109	gp41
159768-75-9	DB06549	BDKRB2
159811-51-5	DB08867	PGR; NR3C1; AR
159997-94-1	DB04851	ABCB5; ABCC1; ABCG2
160003-66-7	DB13877	PARP1
160212-35-1	DB06226	HLA-A; HLA-A
160337-95-1	DB00047	INSR; IGF1R
160492-56-8	DB04872	TACR3
16096-98-3	DB01822	
1610761-46-0	DB12520	CCR2
1610833-03-8	DB14012	FGF23
1610943-06-0	DB13923	F9; F10
1611493-60-7	DB11799	pol; pol
1612838-76-2	DB14762	IL12B; IL23A
161314-70-1	DB07556	MMP12; MMP1
161582-11-2	DB02016	LSS
1618657-13-8	DB06325	PDGFB
1621862-70-1	DB14581	EZH2
162394-19-6	DB00039	FGFR2; NRP1; FGFR1; FGFR4; FGFR3; HSPG2
162610-17-5	DB06406	F10
162652-95-1	DB11641	TUBB
162679-36-9	DB06447	TLR4
1628187-15-4	DB09329	VWF
163217-09-2	DB04796	VDR
16330-92-0	DB05088	APP
163451-80-7	DB07885	gag-pol
163521-12-8	DB06684	SLC6A4; HTR1A
163545-26-4	DB09103	KIT
1644539-04-7	DB14040	CALCA; CALCB
1646819-03-5	DB13932	RPE65
16505-84-3	DB00944	ACHE; BCHE
165101-51-9	DB00102	PDGFRB; PDGFRA; A2M
1655501-53-3	DB14041	CALCA; CALCB
165659-77-8	DB02868	CALM1
165942-79-0	DB09336	EPCAM; MS4A1
16610-63-2	DB07873	GGPS1
16626-02-1	DB03314	TPI1; GSTM1
166374-49-8	DB06471	ADORA1
166518-60-1	DB06442	CES1
167256-08-8	DB06460	EDNRA; EDNRB
167354-41-8	DB06191	ABCB1
16803-75-1	DB07492	draA
168266-90-8	DB12436	TACR1
1690318-25-2	DB15271	SELP
1691249-45-2	DB15035	BTK; EGFR; ERBB2; ERBB4; ITK; BMX; JAK2; TEC; BLK; JAK3; PTK6; FGR; FRK; LCK; TXK
169148-63-4	DB01307	INSR; IGF1R
16941-32-5	DB00040	GCGR; GLP2R; GLP1R
169494-85-3	DB05098	LEPR
16960-16-0	DB01284	MC2R
169758-66-1	DB06538	HTR1A
170105-16-5	DB09262	CHRM1; CHRM2; CHRM3
170277-31-3	DB00065	TNF
170364-57-5	DB06486	PRKCB; AURKB; AURKA; CDK15; CHEK1; CHEK2; AKT1; PIK3R1
1703748-89-3	DB14019	TACR1
1703793-34-3	DB15233	KIT
170569-86-5	DB14059	PTGS2; NFKB2; NFKB1; RELA
170861-63-9	DB04971	PPARA; PPARG
1709815-23-5	DB14724	IFNG
171009-07-7	DB07594	HSP90AB1; HSP90AA1
171176-43-5	DB06433	RRM1
171870-23-8	DB06245	PLAUR; FGA; KLK1; LAMA5; F10; FN1; SERPINB2; CLEC3B; KRT8; ANXA2; LAMB1; LAMC1; LAMA1; CALR; CANX; LRP1; LAMA3
17199-29-0	DB03357	mdlA
172998-57-1	DB08680	gag-pol
173146-27-5	DB00004	IL2RA; IL2RB; IL2RG
173937-91-2	DB06199	EDNRA
174402-32-5	DB04882	TOP1
174630-04-7	DB14072	ABCB1
174636-32-9	DB06429	TACR3
174722-31-7	DB00073	MS4A1
17479-19-5	DB13345	HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7; ADRB1; ADRB2; ADRB3; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; DRD1; DRD5; DRD2; DRD3; DRD4
175212-04-1	DB05431	ALOX5
17528-66-4	DB02987	OAS1; RNASE1
1758-80-1	DB03817	env
176161-24-3	DB06234	UL97; UL97
176246-06-3	DB03861	HEXB; KCNMB2
17692-51-2	DB13520	SCN2A
177073-44-8	DB00097	LHCGR; FSHR
1772578-74-1	DB13926	NTRK1
177469-96-4	DB04852	MTTP
1777-82-8	DB13269	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; SCN1B; SCN2B; SCN3B; SCN4B
178429-62-4	DB14754	SLC6A3; SLC6A2
17902-23-7	DB09256	TYMS
179030-22-9	DB03747	hex; HEXB
179045-86-4	DB00074	IL2RA; IL2RB; FCGR1A; FCGR3A; FCGR2A; FCGR2B; FCGR2C; FCGR3B; C1S; C1R; C1QA; C1QB; C1QC
179386-43-7	DB06477	DRD2; DRD3; DRD4
180064-38-4	DB06548	FDPS; GGPS1
1801342-60-8	DB14707	PDCD1
1802359-96-1	DB13995	FTL; FTH1; HBA1; HBB
180288-69-1	DB00072	ERBB2; EGFR; C1R; C1QA; C1QB; C1QC; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C; FCGR3B; FCGR3A
1803171-55-2	DB11580	C5
180384-56-9	DB06677	EDNRA
180384-57-0	DB06558	EDNRA; EDNRB
180468-34-2	DB04947	SLC6A3
1809249-37-3	DB14761	rep; L
181054-95-5	DB13152	F10; F11; F7; F8; F2; LRP1; GGCX
182133-25-1	DB06249	ESR1; ESR2
1823078-37-0	DB13881	CD19
1825302-42-8	DB14017	SF3B1
1826843-81-5	DB14962	FCGR1A; TOP1
183204-74-2	DB09343	TYMP
183387-50-0	DB06307	BCL2
183499-57-2	DB07227	FNTA; FNTB; PGGT1B
183552-38-7	DB00106	GNRHR
185039-91-2	DB08339	ABL1
185243-69-0	DB00005	TNF; TNFRSF1B; FCGR1A; FCGR3A; FCGR2A; FCGR2B; FCGR2C; LTA; FCGR3B; C1S; C1R; C1QA; C1QB; C1QC
185562-00-9	DB13940	HTR2A; HTR2C
186018-45-1	DB09046	LEPR
186139-09-3	DB06333	PTPN1; SLC6A3; SLC6A2
186268-78-0	DB05814	FKBP1A
186430-23-9	DB03383	PYGM
186692-46-6	DB06195	CDK1; CDK2; MAPK3; MAPK1; CDK7; CDK9; CSNK1E
187888-07-9	DB06423	MMP2; MMP9; MMP13; PTK2; SELE
188039-54-5	DB00110	F; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C
188181-42-2	DB05494	DCK
188627-80-7	DB00063	ITGB3
188679-87-0	DB03657	PYGM
1887228-22-9	DB04515	cslB
189035-07-2	DB05423	NR3C1
18917-93-6	DB14515	ATP1A1
189261-10-7	DB00108	ITGA4; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C; ICAM1
189302-40-7	DB02381	ARG1
18968-14-4	DB03652	algQ1; algQ2
189940-24-7	DB01647	PDE4B
19026-22-3	DB02813	chiB; HEXB
19046-78-7	DB04418	ADSSL1
191588-94-0	DB00031	PLG; FGA; PLAUR; SERPINE1; SERPINB2; CLEC3B; KRT8; ANXA2; CALR; CANX; LRP1
192314-93-5	DB06358	DHFR
19253-88-4	DB03977	CYCS; CALM1
193153-04-7	DB06635	F10
193275-84-2	DB06448	FNTA; IGFBP3
193744-04-6	DB03453	IL2
194100-83-9	DB00024	TSHR
194413-58-6	DB06436	KDR
194785-19-8	DB05590	ADRB2
1955-67-5	DB02446	glmS
195514-63-7	DB04974	MTOR
195875-84-4	DB06156	SLC6A4; SLC6A2; SLC6A3
195962-23-3	DB09066	FSHR
196078-29-2	DB06612	IL5
197922-42-2	DB08900	GLP2R
198153-51-4	DB00008	IFNAR2; IFNAR1
198414-31-2	DB05253	PGR
198480-55-6	DB05414	
1985-21-3	DB01792	
1985606-14-1	DB13997	PA
1986-47-6	DB02665	PRSS1
199331-40-3	DB05442	IL1B
199396-76-4	DB06680	PGR
199685-57-9	DB06495	TNF
199798-84-0	DB06194	VDR
20074-52-6	DB13949	fhuD; TFRC
201038-74-6	DB13988	HTR7
2016-36-6	DB14006	PCYT1B; ACHE; PCYT1A; PLD2; BCHE; PLD1; PHOSPHO1; CHRNA7
20187-55-7	DB13501	PTGS1; PTGS2
202057-76-9	DB06481	DHODH
202590-69-0	DB06422	HTR4; HTR3A
20290-10-2	DB06409	OPRM1; OPRD1; OPRK1
20312-36-1	DB02494	pdh; RPL10L; RPL13A; RPL23; RPL15; RPL19; RPL23A; RSL24D1; RPL26L1; RPL8; RPL37; RPL3; RPL11; SNU13; CPA1
20350-15-6	DB07348	CYTH2; ARF1
203737-93-3	DB06157	ATP2A2; ATP1A1
204656-20-2	DB06655	GLP1R
20479-58-7	DB02548	GPI
2052-49-5	DB01851	kcsA; IGKC
2055491-00-2	DB14731	IL3RA; ARL2
2056-98-6	DB03258	polA; nrdE; NRDD; dcd
