100-02-7	SULT1A1; AMY2B
105979-17-7	CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A; CACNA1B; CACNA1G; CACNA1H; CACNA1I
106-44-5	cobT
106-48-9	SCN4A
106-60-5	ALAD
106133-20-4	ADRA1A; ADRA1D; ADRA1B
106266-06-2	HTR2A; DRD2; ADRA1B; ADRA2B; ADRA1A; ADRA2C; HRH1; HTR2C; HTR1D; HTR1A; HTR7; DRD1
106308-44-5	GRM5; SCN9A
106400-81-1	folA
106516-24-9	DRD2; HTR2A; HTR2C; HTR6; KCNH2; ADRA1A; ADRA1B; ADRA1D
106650-56-0	SLC6A2; SLC6A4; SLC6A3
106685-40-9	RARB; RARG; RXRB; RXRG; RXRA; JUN; TLR2; RARA; GOT1
1068-84-4	atsA
107-06-2	linB
107-35-7	tauD; cbh; GLRA1; GRIN2B; GLRA2; GLRA3; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GABBR1
107-43-7	BCL2
107-92-6	BCHE; cumD; 
107-95-9	panC
1071-23-4	PRKCB
1071-83-6	aroA; aroA; CYP19A1
107233-08-9	CHRM3; CHRM1
107355-45-3	; 
1076-38-6	
107667-60-7	TNF; IL6; IL3; FLT1; NGF; PDGFRB; HSP90AA1; HSP90AB1
107724-20-9	NR3C2
107753-78-6	CYSLTR1
107868-30-4	CYP19A1
108-39-4	INS
108-43-0	E
108-70-3	camC
108-93-0	ADH1B
108-94-1	onr
108-95-2	nprS; E; cobT; ALB
108-99-6	MMP13; MMP3
108319-06-8	gyrA; parC
1086-80-2	; BLVRB
108736-35-2	SSTR2; SSTR5
108785-69-9	HTR2A; HTR2C; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; HRH1; SLC6A4
109-52-4	cumD
109-60-4	est
109-73-9	SAP2
1092788-83-4	SRC
109889-09-0	HTR3A
109944-15-2	MSDC; MAN2A1; MAN1B1
110-15-6	SDHC; SUCNR1; OXCT2; TMLHE; SUCLA2; SLC25A10; SDHA; HSD17B6; SLC13A3; SLC13A2; SLC13A1; SUCLG2; SDHD; P4HA2; PLOD3; BBOX1; P4HA1; SDHB; ALDH5A1; SUCLG1; OXCT1; PLOD1; ASPH; P3H1; P3H2; P3H3
110-16-7	GOT1; aspC; TPR; aspC; tyrB
110-17-8	mdh; fccA; ; ME2; FAH
110-58-7	PRSS1
110-60-1	ODC1; AMD1; potF; ADRB1; ADRB2
110-62-3	PRKACA
110-63-4	MAN1B1; PLA2G2A; PLA2G2E; rsuA; mepA
110-80-5	ADH1C
110-85-0	GABRB3
110-94-1	aspC; gadA; ilvE
11003-38-6	tlyA
110044-82-1	PSMA7
110078-46-1	CXCR4
1101-84-4	IGHA2
110140-89-1	TBXA2R; TBXAS1
110267-81-7	TOP2A
11056-06-7	LIG1; LIG3
110703-94-1	AKR1B10; AKR1B1
11079-53-1	PTGS1; NR1I2; ALOX5
110871-86-8	parC; gyrA; TOP2A
111-14-8	PLA2G1B
111-16-0	dapD
111-20-6	HBA1; HBB
111-96-6	HSP90B1
1110-40-3	NR3C1
111011-63-3	CACNA1I; CACNA1C
111025-46-8	PPARG; MAOB
1110813-31-4	EGFR
1111-39-3	ATP1A1
1113-60-6	TPI; nanA
111406-87-2	ALOX5
1115-65-7	pdxY; blm; PAPOLA; aroH; GSR; luxS; clcD; dmsA; PRDX2; def; ; mvaS; tthHB8IM
1118-68-9	soxA
111902-57-9	ACE
111974-69-7	HTR2A; DRD2; HTR1A; HTR1B; HTR1D; HTR1E; HTR2C; HTR3A; HTR6; HTR7; DRD1; DRD5; DRD3; DRD4; HRH1; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
111988-49-9	CHRFAM7A
112-12-9	ACOT13
112-27-6	budB; ganB; serC
112-36-7	ACHE; nagZ; ptsP
112-49-2	lolB; PFN2; lolB; ; cysE; FYN; PPIF; ; ; tkt2
112-53-8	sdsA1; FAAH
112111-43-0	SLC6A3
1122-47-0	PAPS
112270-39-0	
112362-50-2	vatD
1125-60-6	
112733-06-9	AKR1B1
112809-51-5	CYP19A1
112811-59-3	gyrA; gyrB; parC; parE
112887-68-0	TYMS; FPGS
112921-04-7	EPRS
112924-45-5	TNF
112953-11-4	PDPK1
112965-21-6	VDR
113-00-8	argG; GAMT; RNASE1; DLG4; E; ALDH2; rocF
113-15-5	HTR1D; HTR1B; HTR2A; DRD2; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; SLC6A2; DRD1; DRD5; HTR1A; HTR1F; HTR2C; HTR2B
113-18-8	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
113-42-8	DRD1; HTR2B
113-45-1	SLC6A3; SLC6A2; HTR1A
113-59-7	DRD2; DRD1; DRD3; HTR2A; HTR2B; HTR2C; HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
113082-98-7	REN
1131-64-2	SLC6A2
113165-32-5	ADRA1A
1132-61-2	yicI; GNLY; purT
1133-63-7	bphC; bphC; doxG
1134-47-0	GABBR1; GABBR2
113665-84-2	P2RY12
113775-47-6	ADRA2A
113806-05-6	HRH1; HRH2; HRH3; S100A1; S100A12; S100B; S100A13; S100A2
113852-37-2	UL54
114-07-8	MLNR; KCNH2
114-25-0	HMOX1; MB; BLVRB
114-86-3	PRKAA1; KCNJ8
114084-78-5	FDPS
1141-38-4	HBA1; HBB
114798-26-4	AGTR1
114849-58-0	HSP90B1
114977-28-5	TUBB1; BCL2; MAP2; MAP4; MAPT; NR1I2
115-38-8	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2; NR1I2
115-44-6	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
115-67-3	CACNA1I
115103-54-3	SLC6A1
1152311-62-0	CFTR
115256-11-6	KCNH2; KCNK2; KCNJ12
1156-19-0	ABCC8; KCNJ11
115956-12-2	HTR3A
116539-59-4	SLC6A4; SLC6A2; SLC6A3
116644-53-2	CACNA1G; CACNA1H; CACNA1C; CACNA1D; CACNA1F; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4
116649-85-5	PTGDR2
1169-70-6	OPRM1; OPRK1; OPRD1
117-34-0	CTSB
117-37-3	GGCX
117-39-5	HCK; PIK3CG; UGT3A1; ATP5A1; ATP5B; ATP5C1; PIM1; ttgR; HIBCH; fabZ; STK17B; ESR1; ESR2; NQO2; AHR; CYP1B1; ACTB; CSNK2A1; CSNK2B; EIF3F; HSP90AA1; HSPA2; RUVBL2; SF3B3; UBA1; SHBG; CBR1; CEBPB; NR1I2
117-68-0	; pyrR
117-89-5	DRD2; CALY; ADRA1A; CALM1; TNNC1; S100A4
117976-89-3	ATP4A
118-00-3	43; PNP; 
118-23-0	HRH1
118-42-3	TLR7; TLR9; ACE2
118-92-3	IL4I1; DAO
118-96-7	onr
118072-93-8	FDPS; GGPS1
1181-54-0	rpsD; rpsI
118292-40-3	RARA; RXRB; RARG; RARB
1184-84-5	phnX
1187-84-4	CTSD; MGMT
1187594-09-7	JAK1; JAK2; PTK2B; JAK3
1188-37-0	argB; argB
1188-38-1	CPS1
119-04-0	rpsL; CXCR4
119-24-4	folP
119-61-9	ESR1; ESR2
119-79-9	FGF1
1191-87-3	PFN2; bpuJIR; nir; ; ; ; gpmA; purA; ; ; 
119141-88-7	ATP4A; DDAH1
119356-77-3	HTR1A; HTR1B; HTR2C
119509-24-9	sdhA; sdhB; sdhC; sdhD
1195765-45-7	BRAF; RAF1; SIK1; NEK11; LIMK1
1197-18-8	PLG
119817-90-2	CCKAR
119914-60-2	gyrA; parC
120-18-3	F2; PRSS1
120-72-9	E; cobT
120-80-9	catA; bphC
120-97-8	CA2; CA1; CA4; CA7; CA3
1200-22-2	LIPT1; LIAS; SLC5A6
120014-06-4	ACHE; HTR2A; BCHE; NOS1; TNFAIP6; IL1B; NFKB2; NFKB1; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
120138-50-3	rplJ; rplV
1201438-56-3	PIK3CG; PIK3CD
120279-96-1	CA2; CA4; CA1; CA3
120287-85-6	GNRHR; LHCGR
120444-71-5	HTR2A; HTR2C
120511-73-1	CYP19A1
120635-74-7	HTR3A
120685-11-2	PRKCA; KDR; KIT; PDGFRA; PDGFRB; FLT3
121-34-6	ubiC
121-75-5	BCHE
121-79-9	ESR1
1210-83-9	SPR
121032-29-9	POLA1
1210344-57-2	SLC5A2
121524-08-1	ADRB3
121679-13-8	HTR1D; HTR1B; HTR1F; HTR1A
1217486-61-7	PIK3CA
12192-57-3	ADCY1; ADCY2; ADCY5
122-09-8	SLC6A2; SLC6A4; SLC6A3; MAOA; MAOB; NPY
122-78-1	tynA
122320-73-4	PPARG; ACSL4; PPARA; PPARD; RXRA; RXRB; RXRG
122647-31-8	CACNA1C; CACNB1; KCNH2; CACNA2D1; CACNG1; KCNK1; KCNK6; KCNH6; KCNH7; KCNJ11
1228-72-4	NCOA5; ESR2
122852-42-0	HTR3A
122898-67-3	DRD2; ACHE
1229-12-5	IGHG2; IGHG1; IGKC; 
122970-40-5	TLR7
123-31-9	TYR
123-51-3	REN
123-73-9	ALDH2
123-76-2	ALAD
123-78-4	GLTP; ; ; ; ; PVR
123-91-1	apr; TNFSF13B; EPN1; ; TGFB3
123-99-9	trxB; AKR1D1; SRD5A2; TYR; polA
123039-93-0	DRD1
123122-55-4	MME; ACE
1231929-97-7	CDK4; CDK6
123318-82-1	POLA1; RRM1
123441-03-2	ACHE; BCHE
1234423-95-0	SLC9A3
123524-52-7	CACNB1
123948-87-8	TOP1; TOP1MT
124-07-2	fabB; tesA; PPARA
124-09-4	
124-20-9	potD; TXNRD1; aacC1; ADRB1; ADRB2
124-87-8	GABRR1; GABRA1; GLRA2; GLRA3; GLRA1
124-94-7	NR3C1
124832-26-4	; TK
124937-51-5	CHRM3; CHRM2; CHRM5; CHRM1; CHRM4
125-29-1	OPRM1; OPRD1; SIGMAR1
125-33-7	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
125-40-6	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; CHRNA4; CHRNA7; GRIA2; GRIK2
125-53-1	CHRM3; CHRM1; CHRM2
125-64-4	GABRA1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
125-71-3	SIGMAR1; SIGMAR1; CHRNA2; GRIN3A; SLC6A4; PGRMC1; CHRNA3; CHRNA4; CHRNB4; CHRNB2; CHRNA7; OPRM1; OPRD1; OPRK1; CYBB; CYBA; NCF1; NCF2; NCF4; RAC1; RAC2; SLC6A2
125-84-8	CYP19A1; CYP11A1
125313-65-7	PDPK1; DMPK
1256388-51-8	NS5A
1256580-46-7	ALK
1257044-40-8	BCL2
125926-17-2	HTR2C; HTR2A
126-07-8	TUB2; TUB1; KRT12
126-27-2	GAST
126-49-8	aroH
126-52-3	CA1; CA2
126222-34-2	REN
1262780-97-1	CASR
126347-69-1	gag-pol; gag-pol
126411-39-0	NR1I2
12650-69-0	ileS
1269440-17-6	BRAF; CCND1
127-07-1	RRM1
127-17-3	SLC16A3; SLC16A2; AGXT2; SLC16A5; PKLR; SLC16A6; SLC16A7; PDHB; PKM; ABAT; SLC16A4; SLC16A8; SLC16A1; PC
127-31-1	NR3C2; NR3C1
127-33-3	rpsI; rpsD
127-48-0	CACNA1G
127-69-5	folP
127-79-7	folP
127027-50-3	mutT
12772-57-5	HSP90AB1; HSP90B1; DLAT; PDK3; phoQ
127779-20-8	pol
128-13-2	AKR1C2; NR1H4
128-23-4	NCOA1; RXRA; NR1I3; AKR1D1
128-53-0	CLC
128196-01-0	SLC6A4; CHRM1; HRH1; HTR1A; HTR2A; ADRA1A; ADRA1B; ADRA1D; HTR2C; ADRA2A; ADRA2B; ADRA2C; DRD2; SLC6A2; SLC6A3
128270-60-0	F2
128312-51-6	CYSLTR1
128470-16-6	ADRB1; ADRB2; ADRB3
128517-07-7	HDAC1; HDAC2; HDAC4; HDAC6; ABCC1
128794-94-5	IMPDH1; IMPDH2; PTS
1289023-67-1	CALCRL
129-03-3	HRH1; HTR2A; HTR2C; CHRM1; CHRM2; CHRM3; HTR7
129-20-4	PLA2G2E
129298-91-5	METAP2
129453-61-8	ESR1
129618-40-2	pol
129722-12-9	HTR1A; DRD2; HTR2A; ADRA1A; ADRA1B; DRD3; HTR1D; HTR7; ADRA2A; ADRA2C; HRH1; HTR1B; HTR2C; HTR3A; HTR6; DRD1; DRD4; ADRA2B; HTR1E; DRD5; HTR2B; HTR5A; ADRB1; ADRB2; HRH2; HRH3; HRH4; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; OPRK1; OPRM1; OPRD1; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; SLC6A3; SLC6A4
130-95-0	GP9; KCNN4
130018-77-8	HRH1
13010-47-4	STMN4
130209-82-4	PTGFR
130308-48-4	BDKRB2; ANPEP
130370-60-4	MMP8; MMP12; MMP16; ADAM28; ADAMTS5
13049-13-3	SULT1E1
130929-57-6	COMT
130974-86-6	NOS3
131-01-1	SLC18A2
131-13-5	F2; F7; F9; F10; PROC; GGCX; PROS1
131-57-7	PGR; AR; ESR1; ESR2
131123-76-7	GRIN1
131179-95-8	HBA1; HBB
13147-57-4	nagB; pfkA; TPI1; PKM; tpiA; mgsA; ENO2; tpiA; aroG; PKLR; TPI; yniC; ENO3
131860-33-8	CYC1; MT-CYB; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRFS1; UQCR11; UQCRB; UQCR10
131918-61-1	VDR
132-21-8	HRH1
132-22-9	HRH1; SLC6A4; SLC6A2; SLC6A3
132036-88-5	HTR3A
132203-70-4	CACNA1B; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A
132449-46-8	HTR1A
132539-06-1	HTR2A; DRD2; DRD1; DRD5; DRD3; DRD4; HTR2C; HTR3A; HTR6; HRH1; ADRA1A; ADRA1B; CHRM1; CHRM2; CHRM3; CHRM4; DRD1; DRD5; ADRB1; ADRB2; ADRB3; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRG1; GABRG2; GABRG3
132810-10-7	DRD2; DRD3; HTR2A
132875-61-7	OPRM1; OPRD1; OPRK1
13292-46-1	rpoB; NR1I2
133-16-4	SCN10A; GRIN3A; CHRNA10; HTR3A; SLC6A3
133-32-4	tyrB; B2M; TRAC; TRBC1; HLA-A
133-67-5	SLC12A3; ATP1A1; CA1; CA2; CA4
133-89-1	; GYG1; otsA; galT; GALE; rmlA; galE; bgt; GLT6D1
133040-01-4	AGTR1
133052-90-1	PIM1; PDPK1; PRKCI
133099-04-4	CHRM3; CHRM1; CHRM2; CHRM4; CHRM5
13311-84-7	AR; AHR; NR1I2
13331-27-6	ampC
13335-71-2	gag-pol
133397-81-6	PRSS1
133432-71-0	PNP
133454-47-4	HTR2A; DRD2; DRD1; DRD3; DRD4; HTR1A; HTR6; HTR7; ADRA1A; HRH1; ADRA2C
133814-19-4	CHRNA2; CHRM2; CHRM3; BCHE
1338225-97-0	pol
133865-89-1	MAOB
13392-18-2	ADRB2; ADRB1; ADRB3
13392-28-4	M
13392-69-3	ALAD
13395-35-2	
134-35-0	AMT
134-46-3	thyA1; thyA; thyA; thyX
134-49-6	SLC6A2; SLC6A3
134-58-7	PNP
13422-55-4	metH
134308-13-7	COMT
13434-13-4	; def; def; def; def; def; def1; def2; def; def; PDF
134523-00-5	HMGCR; DPP4; AHR; HDAC2; NR1I3
13463-67-7	MARCO
13464-58-9	arsA; arsC
134678-17-4	pol; P
13494-90-1	RRM2; ATP6V1B2; BGLAP; PPI; IL1B
135-07-9	SLC12A1; CA1; CA2; CA4
135-09-1	CA7; CA9; SLC12A1; ATP1A1; KCNMA1; CA1; CA2; CA4; CA12
135-16-0	nos; thyA
1350514-68-9	NS3/4A
135062-02-1	ABCC8; PPARG
13523-86-9	ADRB1; ADRB2; HTR1A; HTR1B; ADRB3
135729-56-5	HTR3A
136-08-3	mdlC; pox5; aceE; por; ipdC; ceaS; tktA; budB
136087-85-9	AKR1B1; AKR1B10
136236-51-6	MAOB; BCL2
136381-85-6	CCKAR
13647-35-3	HSD3B1; HSD3B2; ESR1; ESR2
136470-78-5	pol; HLA-B
13655-52-2	ADRB1; ADRB2; HTR1A; ADRB3
136790-76-6	CLCN2
136817-59-9	pol
137-00-8	thiM
137-58-6	SCN10A; SCN9A; SCN5A; EGFR; SCN4A; ORM1; ORM2
1370468-36-2	NS5A
137071-32-0	MTOR; FKBP1A
13710-19-5	PTGS1; PTGS2
137234-62-9	ERG11
137281-23-3	TYMS; ATIC; DHFR; GART
137332-54-8	gag-pol
13739-02-1	NR1H3; NR1H2; ALOX5; CYP1A2; CYP3A4; CYP3A43; CYP3A5; CYP3A7; CYP2E1; CYP2C9; CYP2D6
137862-53-4	AGTR1
138-08-9	aroG; kdsA; ENO3; synC; PCK1; kdsA; aroF
138-39-6	CA6
138112-76-2	HTR2C; MTNR1A; MTNR1B
13838-16-9	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GLRA1; GLRB; KCNN4; KCNA1; ATP2C1; GRIA1; ATP5D
138402-11-6	AGTR1; JUN
138729-47-2	GABRA1; GABRA2; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GABRA3; GABRA5
13875-63-3	
138890-62-7	CA2; CA1; CA4; CA5A; CA3
139-13-9	LTF
139-88-8	PROC; PROS1
139110-80-8	NA; NA; NEU2
13912-93-1	PCK1
139264-17-8	HTR1B; HTR1D; HTR1F; HTR1A
139306-10-8	ACHE
139481-59-7	AGTR1
13956-29-1	CNR1; CNR2; GPR12; GLRA1; GLRA1; GLRB; GLRA3; GPR18; GPR55; HTR1A; HTR2A; CHRNA7; OPRD1; OPRM1; PPARG; TRPV1; CACNA1G; CACNA1H; CACNA1I; TRPA1; TRPM8; TRPV2; TRPV3; TRPV4; VDAC1; HTR3A; ADORA1; PTGS1; PTGS2; ACAT1; CYP17A1; HMGCR; GSR; GPX1; IDO1; CYP1B1; NQO1; CAT; CYP3A5; CYP2D6; SOD1; CYP1A2; CYP3A7; AANAT; NAAA
139755-83-2	PDE5A; PDE6G; PDE6H
140-65-8	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A
14009-24-6	PDE4A; CACNA1C
140111-52-0	CHRFAM7A; CHRNA7; CHRNB2; CHRNA2; CHRNA3; CHRNA4; CHRNB4
14028-44-5	SLC6A2; SLC6A4; DRD2; DRD1; ADRA2A; ADRA1A; CHRM1; GABRA1; HTR2A; HTR2C; HTR6; HTR7; DRD3; DRD4; HRH1; ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR2B; HTR3A; HTR1A; HTR1B; ADRA2A; ADRA2B; ADRA2C; HRH4; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; SLC6A3
14047-27-9	TK
14047-28-0	TK
1405-87-4	IDE; A2M
141-22-0	CNR1; CNR2; TRPV1
141-43-5	nspA; ANXA3
141-82-2	rsbQ; panD; SRC; cyp158a2; SNRPA; ; rimL
141388-76-3	parC; parC; gyrA; gyrA
141505-33-1	TNNC1; KCNJ11; KCNJ8; PDE3A
141626-36-0	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; KCNH2; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; KCNK2; SCN5A; KCNJ3; KCNQ1; KCNJ12; KCNJ14; KCNJ2; KCNJ4; SLC8A1; KCND3; THRA
1420-55-9	DRD2; DRD1; DRD4
14214-84-7	CHRM1
142340-99-6	P
14277-97-5	GRIK2
142880-36-2	lef; ADAM28; ACAN
143-07-7	ADH5; fabB; fhuA; GM2A; fabH; ; ; ; HNF4A; PLA2G2A; VLDLR; GLTP; fabF; LTF; tonB; C8G; PLA2G2D; pvdQ; LY96; TLR4; PPARA
143322-58-1	HTR1D; HTR1B; HTR1F; HTR1A; HTR1E; HTR2B; HTR7
143491-57-0	pol
143558-00-3	CHRNA2; CHRM2; HTR3A
14357-78-9	OPRM1; OPRD1; OPRK1; TRIM13
143664-11-3	ABCB1
144-11-6	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
144-14-9	OPRM1
144-44-5	CHRNA10; CHRNA3; CHRNB4
144-62-7	SRC
144-80-9	folP; sulI; FOL1
144-82-1	folP
144-83-2	sulI
144034-80-0	HTR1D; HTR1B; HTR1F
144035-83-6	PDE4A; PDE4B; PDE4C; PDE4D
144060-53-7	XDH
144494-65-5	ITGA2B; ITGB3
1445-75-6	opd; opd
144689-24-7	AGTR1
144701-48-4	AGTR1; PPARG
14484-47-0	NR3C1
145-13-1	SULT2B1; NR1I2
145-63-1	P2RY2; SIRT5; FSHR; RYR1; F2; PLA2G2A; 
145158-71-0	HTR4; HTR2B; HTR2C; HTR2A
14521-96-1	OPRM1; OPRD1; OPRK1; OPRL1; TRIM13; POMC
145216-43-9	AGTR1
145375-43-5	ABCC8; PPARG
14556-46-8	ADRB1; ADRB2; ADRB3
145599-86-6	HMGCR
145733-36-4	AGTR1; AGTR2
145739-56-6	PDE4D
145742-28-5	TACR1
145903-06-6	ANXA5
146-14-5	glf; hmp; thiO; POR; GCDH; ACADM; DAO; putA; phr; MAOA; ACADS; IL4I1; fadH; xecC; pobA; NOS1; NQO1; pobA; ; ERO1B; GSR; fprA; CYB5R3; choA; thyX; pox5; trxB; gor; metF; soxA; TPR; NQO2; IVD; XDH; choB; dmg; npr; DPYD; petH; dld; cysJ; TXNRD1; fpr; ACAD8; ; AIFM1; bphA4; ; ; phrB; phr; nadB; cry; DLD; ifcA; CYB5R1; ; MAOB; FDXR; ACOX1; murB; GFER; murB; hmp; pheA2; metF; camA; lpdA; glf; abfD; pchF; ahpF; m-6; GR2; pamO; benC; ; fkbI; lpdV; lpd; ahpF; petH; fpr; mrsD; fccA; NDUFA9
